product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Panasonic Inverter 1 HP CU/CS-PU9ZKH-8M Mới 2023,11.390.000₫,,,319,https://www.dienmayxanh.com/may-lanh/panasonic-inverter-1-hp-cu-cs-pu9zkh-8,01,,Air Conditioner
Panasonic Inverter 1.5 HP CU/CS-PU12ZKH-8M Mới 2023,13.890.000₫,,,235,https://www.dienmayxanh.com/may-lanh/panasonic-inverter-15-hp-cu-cs-pu12zkh-8,01,,Air Conditioner
Panasonic Inverter 1 HP CU/CS-XU9ZKH-8 Mới 2023,13.990.000₫,,,110,https://www.dienmayxanh.com/may-lanh/panasonic-inverter-1-hp-cu-cs-xu9zkh-8,01,,Air Conditioner
Panasonic Inverter 1.5 HP CU/CS-XU12ZKH-8 Mới 2023,17.390.000₫,,,37,https://www.dienmayxanh.com/may-lanh/panasonic-inverter-15-hp-cu-cs-xu12zkh-8,01,,Air Conditioner
Panasonic Inverter 2 HP CS-PU18XKH-8M,18.690.000₫,,,47,https://www.dienmayxanh.com/may-lanh/panasonic-cs-pu18xkh-8m,01,,Air Conditioner
Panasonic Inverter 1 HP CU/CS-XU9XKH-8,10.790.000₫,13.490.000₫,-20%,201,https://www.dienmayxanh.com/may-lanh/panasonic-cu-cs-xu9xkh-8,01,,Air Conditioner
Panasonic Inverter 1.5 HP CU/CS-PU12WKH-8M,12.890.000₫,,,198,https://www.dienmayxanh.com/may-lanh/panasonic-cu-cs-pu12wkh-8m,01,,Air Conditioner
Panasonic 1 HP CU/CS-N9WKH-8M,Ngừng kinh doanh,,,94,https://www.dienmayxanh.com/may-lanh/panasonic-cu-cs-n9wkh-8m,01,,Air Conditioner
Panasonic Inverter 2.5 HP S-2430PU3H/U-24PR1H5,38.250.000₫,,,,https://www.dienmayxanh.com/may-lanh/may-lanh-am-tran-panasonic-25-hp-s-2430pu3h-u-24pr1h5,01,,Air Conditioner
Panasonic Inverter 2 HP S-1821PU3HA/U-21PRH1H5,41.850.000₫,,,,https://www.dienmayxanh.com/may-lanh/may-lanh-am-tran-panasonic-inverter-2-hp-s-1821pu3ha-u-21prh1h5,01,,Air Conditioner
Panasonic Inverter 4 HP S-3448PU3HA/U-34PRH1H5,54.390.000₫,,,,https://www.dienmayxanh.com/may-lanh/may-lanh-am-tran-panasonic-4-hp-s-3448pu3ha-u-34prh1h5,01,,Air Conditioner
Panasonic Inverter 5 HP S-3448PU3HA/U-48PRH1H5,63.590.000₫,,,,https://www.dienmayxanh.com/may-lanh/may-lanh-am-tran-panasonic-5-hp-s-3448pu3ha-u-48prh1h5,01,,Air Conditioner
Daikin Inverter 1 HP ATKF25XVMV Mới 2023,11.590.000₫,,,452,https://www.dienmayxanh.com/may-lanh/daikin-inverter-1-hp-atkf25xvmv,02,,Air Conditioner
Daikin Inverter 1.5 HP ATKF35XVMV Mới 2023,14.190.000₫,,,243,https://www.dienmayxanh.com/may-lanh/daikin-inverter-15-hp-atkf35xvmv,02,,Air Conditioner
Daikin Inverter 2 HP FTKF50XVMV Mới 2023,21.090.000₫,,,50,https://www.dienmayxanh.com/may-lanh/daikin-inverter-2-hp-ftkf50xvmv,02,,Air Conditioner
Daikin Inverter 1 HP FTKY25WMVMV,13.290.000₫,,,150,https://www.dienmayxanh.com/may-lanh/daikin-inverter-1-hp-ftky25wmvmv,02,,Air Conditioner
Daikin Inverter 1 HP FTHF25VAVMV,12.990.000₫,,,112,https://www.dienmayxanh.com/may-lanh/daikin-fthf25vavmv,02,,Air Conditioner
Daikin Inverter 1.5 HP FTKY35WMVMV,16.490.000₫,,,76,https://www.dienmayxanh.com/may-lanh/daikin-inverter-15-hp-ftky35wmvmv,02,,Air Conditioner
Daikin Inverter 1.5 HP FTKB35WMVMV,13.490.000₫,,,271,https://www.dienmayxanh.com/may-lanh/daikin-inverter-15-hp-ftkb35wmvmv,02,,Air Conditioner
Daikin Inverter 1 HP ATHF25XVMV Mới 2023,13.690.000₫,,,15,https://www.dienmayxanh.com/may-lanh/may-lanh-daikin-inverter-2-chieu-1-hp-athf25xvmv,02,,Air Conditioner
Daikin Inverter 2.5 HP FTKF60XVMV Mới 2023,25.690.000₫,,,14,https://www.dienmayxanh.com/may-lanh/daikin-inverter-25-hp-ftkf60xvmv,02,,Air Conditioner
Daikin Inverter 2 HP FTHF50VVMV,21.790.000₫,,,15,https://www.dienmayxanh.com/may-lanh/daikin-fthf50vvmv,02,,Air Conditioner
Daikin Inverter 1.5 HP ATKC35UAVMV,13.190.000₫,14.990.000₫,-12%,39,https://www.dienmayxanh.com/may-lanh/daikin-atkc35uavmv,02,,Air Conditioner
Daikin Inverter 1.5 HP ATHF35XVMV Mới 2023,16.790.000₫,,,8,https://www.dienmayxanh.com/may-lanh/may-lanh-daikin-inverter-2-chieu-15-hp-athf35xvmv,02,,Air Conditioner
Daikin Inverter 2 HP FTKY50WVMV,21.690.000₫,,,15,https://www.dienmayxanh.com/may-lanh/daikin-inverter-2-hp-ftky50wvmv,02,,Air Conditioner
Daikin 1.5 HP ATF35UV1V,10.290.000₫,11.590.000₫,-11%,34,https://www.dienmayxanh.com/may-lanh/daikin-atf35uv1v,02,,Air Conditioner
Daikin Inverter 1.5 HP FTHF35VAVMV,15.790.000₫,,,33,https://www.dienmayxanh.com/may-lanh/daikin-fthf35vavmv,02,,Air Conditioner
Daikin Inverter 1.5 HP FTKZ35VVMV,21.090.000₫,,,6,https://www.dienmayxanh.com/may-lanh/daikin-inverter-15-hp-ftkz35vvmv,02,,Air Conditioner
