product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Samsung Inverter 208 lít RT20HAR8DBU/SV,5.990.000₫,7.890.000₫,-24%,370,https://www.dienmayxanh.com/tu-lanh/samsung-rt20har8dbu-sv,01,,Fridge
Samsung Inverter 236 lít RT22M4032BY/SV,5.990.000₫,9.390.000₫,-36%,454,https://www.dienmayxanh.com/tu-lanh/samsung-rt22m4032by-sv,01,,Fridge
Samsung Inverter 655 lít RS62R5001M9/SV,14.990.000₫,22.900.000₫,-34%,524,https://www.dienmayxanh.com/tu-lanh/samsung-rs62r5001m9-sv,01,,Fridge
Samsung Inverter 488 lít RF48A4010M9/SV,17.990.000₫,26.090.000₫,-31%,163,https://www.dienmayxanh.com/tu-lanh/samsung-rf48a4010m9-sv,01,,Fridge
Samsung Inverter 488 lít RF48A4000B4/SV,17.490.000₫,23.990.000₫,-27%,330,https://www.dienmayxanh.com/tu-lanh/samsung-rf48a4000b4-sv,01,,Fridge
Samsung Inverter 655 lít RS62R5001B4/SV,16.490.000₫,25.090.000₫,-34%,230,https://www.dienmayxanh.com/tu-lanh/samsung-rs62r5001b4-sv,01,,Fridge
Samsung Inverter 280 lít RB27N4010BU/SV,9.990.000₫,12.590.000₫,-20%,162,https://www.dienmayxanh.com/tu-lanh/samsung-rb27n4010bu-sv,01,,Fridge
Samsung Inverter 236 lít RT22M4032BU/SV,6.690.000₫,9.590.000₫,-30%,119,https://www.dienmayxanh.com/tu-lanh/samsung-rt22m4032bu-sv,01,,Fridge
Samsung Inverter 406 lít RT42CG6584B1SV Mới 2023,15.890.000₫,17.990.000₫,-11%,13,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-406-lit-rt42cg6584b1sv,01,,Fridge
Samsung Inverter 307 lít RB30N4190BY/SV,13.990.000₫,17.490.000₫,-20%,527,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-307-lit-rb30n4190by-sv,01,,Fridge
Samsung Inverter 382 lít RT38CG6584B1SV Mới 2023,14.440.000₫,16.490.000₫,-12%,12,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-382-lit-rt38cg6584b1sv,01,,Fridge
Samsung Inverter 276 lít RB27N4170BU/SV,10.540.000₫,13.590.000₫,-22%,61,https://www.dienmayxanh.com/tu-lanh/samsung-rb27n4170bu-sv,01,,Fridge
Samsung Inverter 276 lít RB27N4190BU/SV,11.540.000₫,14.590.000₫,-20%,38,https://www.dienmayxanh.com/tu-lanh/samsung-rb27n4190bu-sv,01,,Fridge
Samsung Inverter 488 lít RF48A4010B4/SV,19.990.000₫,27.990.000₫,-28%,179,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-488-lit-rf48a4010b4-sv,01,,Fridge
Samsung Inverter 307 lít RB30N4190BU/SV,14.290.000₫,17.790.000₫,-19%,38,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-307-lit-rb30n4190bu-sv,01,,Fridge
Samsung Inverter 635 lít RS64R53012C/SV,28.890.000₫,44.900.000₫,-35%,96,https://www.dienmayxanh.com/tu-lanh/samsung-rs64r53012c-sv,01,,Fridge
Samsung Inverter 406 lít RT42CB6784C3SV Mới 2023,15.490.000₫,18.690.000₫,-17%,4,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-406-lit-rt42cb6784c3sv,01,,Fridge
Samsung Inverter 208 lít RT19M300BGS/SV,6.290.000₫,6.890.000₫,-8%,574,https://www.dienmayxanh.com/tu-lanh/samsung-rt19m300bgs-sv,01,,Fridge
Samsung Inverter 322 lít RT32K503JB1/SV,9.490.000₫,11.590.000₫,-18%,108,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-322-lit-rt32k503jb1-sv,01,,Fridge
Samsung Inverter 635 lít RS64R5301B4/SV,24.550.000₫,39.900.000₫,-38%,108,https://www.dienmayxanh.com/tu-lanh/samsung-rs64r5301b4-sv,01,,Fridge
Samsung Inverter 345 lít RT35CG5544B1SV Mới 2023,12.490.000₫,13.690.000₫,-8%,3,https://www.dienmayxanh.com/tu-lanh/rt35cg5544b1sv,01,,Fridge
Samsung Inverter 616 lít RS64T5F01B4/SV,36.490.000₫,58.900.000₫,-38%,74,https://www.dienmayxanh.com/tu-lanh/samsung-rs64t5f01b4-sv,01,,Fridge
Samsung Inverter 648 lít RF59C766FB1/SV Mới 2023,31.990.000₫,42.900.000₫,-25%,6,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-648-lit-rf59c766fb1-sv,01,,Fridge
Samsung Inverter 460 lít RT47CB66868ASV Mới 2023,17.990.000₫,20.690.000₫,-13%,5,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-460-lit-rt47cb66868asv,01,,Fridge
Samsung Inverter 310 lít RB30N4010BU/SV,11.190.000₫,16.090.000₫,-30%,16,https://www.dienmayxanh.com/tu-lanh/samsung-rb30n4010bu-sv,01,,Fridge
Samsung Inverter 649 lít RF59C700ES9/SV Mới 2023,27.790.000₫,38.900.000₫,-28%,6,https://www.dienmayxanh.com/tu-lanh/rf59c700es9-sv,01,,Fridge
Samsung Inverter 648 lít RF59CB66F8S/SV Mới 2023,38.490.000₫,49.900.000₫,-22%,7,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-648-lit-rf59cb66f8s-sv,01,,Fridge
Samsung Inverter 305 lít RT31CB56248ASV Mới 2023,11.990.000₫,12.890.000₫,-6%,3,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-305-lit-rt31cb56248asv,01,,Fridge
Samsung Inverter 302 lít RT29K503JB1/SV,8.590.000₫,10.990.000₫,-21%,24,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-302-lit-rt29k503jb1-sv,01,,Fridge
Samsung Inverter 305 lít RT31CG5424B1SV Mới 2023,10.490.000₫,11.190.000₫,-6%,,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-305-lit-rt31cg5424b1sv,01,,Fridge
Samsung Inverter 348 lít RT35CG5424B1SV Mới 2023,11.490.000₫,12.690.000₫,-9%,,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-348-lit-rt35cg5424b1sv,01,,Fridge
Samsung Inverter 319 lít RT32K5932BY/SV,12.190.000₫,15.090.000₫,-19%,255,https://www.dienmayxanh.com/tu-lanh/samsung-rt32k5932by-sv,01,,Fridge
Samsung Inverter 385 lít RT38CB668412SV Mới 2023,16.290.000₫,17.490.000₫,-6%,,https://www.dienmayxanh.com/tu-lanh/rt38cb668412sv,01,,Fridge
Samsung Inverter 299 lít RT29K5532BY/SV,9.990.000₫,12.790.000₫,-21%,66,https://www.dienmayxanh.com/tu-lanh/samsung-rt29k5532by-sv,01,,Fridge
Samsung Inverter 319 lít RT32K5932BU/SV,12.190.000₫,15.190.000₫,-19%,19,https://www.dienmayxanh.com/tu-lanh/samsung-rt32k5932bu-sv,01,,Fridge
Samsung Inverter 339 lít RB33T307029/SV,29.000.000₫,32.900.000₫,-11%,5,https://www.dienmayxanh.com/tu-lanh/samsunginverter-339-lit-rb33t307029-sv,01,,Fridge
Samsung Inverter 380 lít RT38K5982BS/SV,17.880.000₫,20.090.000₫,-10%,240,https://www.dienmayxanh.com/tu-lanh/samsung-rt38k5982bs-sv,01,,Fridge
Samsung Inverter 460 lít RT46K603JB1/SV,15.490.000₫,16.990.000₫,-8%,17,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-460-lit-rt46k603jb1-sv,01,,Fridge
Samsung Inverter 599 lít RF60A91R177/SV,76.900.000₫,82.900.000₫,-7%,17,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-599-lit-rf60a91r177-sv,01,,Fridge
Samsung Inverter 339 lít RB33T307055/SV,29.000.000₫,32.900.000₫,-11%,18,https://www.dienmayxanh.com/tu-lanh/samsunginverter-339-lit-rb33t307055-sv,01,,Fridge
Samsung Inverter 360 lít RT35K5982BS/SV,17.090.000₫,19.590.000₫,-12%,373,https://www.dienmayxanh.com/tu-lanh/samsung-rt35k5982bs-sv,01,,Fridge
Samsung Inverter 256 lít RT25M4032BU/SV,7.740.000₫,9.690.000₫,-20%,10,https://www.dienmayxanh.com/tu-lanh/samsung-rt25m4032bu-sv,01,,Fridge
Samsung Inverter 360 lít RT35K50822C/SV,16.990.000₫,19.490.000₫,-12%,24,https://www.dienmayxanh.com/tu-lanh/samsung-rt35k50822c-sv,01,,Fridge
Samsung Inverter 380 lít RT38K50822C/SV,18.090.000₫,20.090.000₫,-9%,34,https://www.dienmayxanh.com/tu-lanh/samsung-rt38k50822c-sv,01,,Fridge
Samsung Inverter 323 lít RZ32T744535/SV,23.900.000₫,26.900.000₫,-11%,4,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-323-lit-rz32t744535-sv,01,,Fridge
Samsung Inverter 678 lít RB33T307029/SV,65.800.000₫,,,,https://www.dienmayxanh.com/tu-lanh/combo-2-samsung-rb33t307029-sv,01,,Fridge
Samsung Inverter 678 lít RB33T307055/SV,65.800.000₫,,,,https://www.dienmayxanh.com/tu-lanh/combo-2-samsung-rb33t307055-sv,01,,Fridge
Samsung Inverter 678 lít RB33T307055/SV & RB33T307029/SV,65.800.000₫,,,,https://www.dienmayxanh.com/tu-lanh/combo-2-samsung-rb33t307055-sv-rb33t307029-sv,01,,Fridge
Samsung Inverter 646 lít RZ32T744535/SV,53.800.000₫,,,,https://www.dienmayxanh.com/tu-lanh/combo-2-samsung-rz32t744535-sv,01,,Fridge
Samsung Inverter 662 lít RZ32T744535/SV & RB33T307029/SV,59.800.000₫,,,,https://www.dienmayxanh.com/tu-lanh/combo-samsung-rz32t744535-sv-rb33t307029-sv,01,,Fridge
Samsung Inverter 662 lít RZ32T744535/SV & RB33T307055/SV,59.800.000₫,,,,https://www.dienmayxanh.com/tu-lanh/combo-samsung-rz32t744535-sv-rb33t307055-sv,01,,Fridge
Panasonic Inverter 170 lít NR-BA190PPVN,6.590.000₫,,,602,https://www.dienmayxanh.com/tu-lanh/panasonic-nr-ba190ppvn,02,,Fridge
Panasonic Inverter 234 lít NR-TV261BPKV,8.990.000₫,,,187,https://www.dienmayxanh.com/tu-lanh/panasonic-nr-tv261bpkv,02,,Fridge
Panasonic Inverter 326 lít NR-TL351VGMV,13.490.000₫,,,70,https://www.dienmayxanh.com/tu-lanh/panasonic-inverter-326-lit-nr-tl351vgmv,02,,Fridge
Panasonic Inverter 306 lít NR-TV341VGMV,12.590.000₫,,,142,https://www.dienmayxanh.com/tu-lanh/panasonic-nr-tv341vgmv,02,,Fridge
Panasonic Inverter 234 lít NR-TV261APSV,8.090.000₫,,,205,https://www.dienmayxanh.com/tu-lanh/panasonic-nr-tv261apsv,02,,Fridge
Panasonic Inverter 188 lít NR-BA229PKVN,7.390.000₫,,,560,https://www.dienmayxanh.com/tu-lanh/panasonic-nr-ba229pkvn,02,,Fridge
Panasonic Inverter 268 lít NR-TV301VGMV,10.990.000₫,,,62,https://www.dienmayxanh.com/tu-lanh/panasonic-nr-tv301vgvm,02,,Fridge
Panasonic Inverter 366 lít NR-TL381VGMV,15.090.000₫,,,69,https://www.dienmayxanh.com/tu-lanh/panasonic-inverter-366-lit-nr-tl381vgmv,02,,Fridge
Panasonic Inverter 255 lít NR-BV281BGMV Mới 2023,12.590.000₫,,,5,https://www.dienmayxanh.com/tu-lanh/tu-lanh-panasonic-inverter-255-lit-nr-bv281bgmv,02,,Fridge
Panasonic Inverter 300 lít NR-BV331WGKV,16.990.000₫,,,9,https://www.dienmayxanh.com/tu-lanh/tu-lanh-panasonic-300-lit-nr-bv331wgkv,02,,Fridge
Panasonic Inverter 417 lít NR-BX471GPKV,20.490.000₫,,,235,https://www.dienmayxanh.com/tu-lanh/panasonic-nr-bx471gpkv,02,,Fridge
Panasonic Inverter 325 lít NR-BC361VGMV Mới 2023,16.590.000₫,,,5,https://www.dienmayxanh.com/tu-lanh/tu-lanh-panasonic-325-lit-nr-bc361vgmv,02,,Fridge
Panasonic Inverter 377 lít NR-BX421GPKV,18.490.000₫,,,133,https://www.dienmayxanh.com/tu-lanh/panasonic-nr-bx421gpkv,02,,Fridge
Panasonic Inverter 495 lít NR-CW530XMMV,42.990.000₫,,,20,https://www.dienmayxanh.com/tu-lanh/panasonic-inverter-495-lit-nr-cw530xmmv,02,,Fridge
