product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Samsung Smart TV QLED QA65QN90C Mới 2023,53.900.000₫,54.900.000₫,,,https://www.dienmayxanh.com/tivi/smart-tivi-neo-qled-4k-65-inch-samsung-qa65qn90c,01,Neo QLED,Tivi
Samsung Smart TV QLED QA75QN85A,36.800.000₫,84.900.000₫,-56%,3,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa75qn85a,01,Neo QLED,Tivi
Samsung Smart TV QLED QA55QN85A,24.900.000₫,41.900.000₫,-40%,9,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa55qn85a,01,Neo QLED,Tivi
Samsung Smart TV QLED QA65QN700B,32.900.000₫,59.900.000₫,-45%,,https://www.dienmayxanh.com/tivi/smart-neo-qled-8k-65-inch-samsung-qa65qn700b,01,Neo QLED,Tivi
Samsung Smart TV QLED QA85QN85B,64.900.000₫,89.900.000₫,-27%,4,https://www.dienmayxanh.com/tivi/smart-neo-qled-4k-85-inch-samsung-qa85qn85b,01,Neo QLED,Tivi
Samsung Smart TV QLED QA50QN90A,19.900.000₫,39.900.000₫,-50%,9,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa50qn90a,01,Neo QLED,Tivi
Samsung Smart TV QLED QA55QN90A,30.900.000₫,44.900.000₫,-31%,47,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa55qn90a,01,Neo QLED,Tivi
Samsung Smart TV QLED QA65QN900B,63.600.000₫,99.900.000₫,-36%,,https://www.dienmayxanh.com/tivi/smart-neo-qled-8k-65-inch-samsung-qa65qn900b,01,Neo QLED,Tivi
Samsung Smart TV QLED QA75QN85B,54.900.000₫,69.900.000₫,-21%,,https://www.dienmayxanh.com/tivi/smart-neo-qled-4k-75-inch-samsung-qa75qn85b,01,Neo QLED,Tivi
Samsung Smart TV QLED QA85QN85A,53.200.000₫,124.900.000₫,-57%,,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa85qn85a,01,Neo QLED,Tivi
Samsung Smart TV QLED QA98QN90A,139.890.000₫,155.090.000₫,-9%,,https://www.dienmayxanh.com/tivi/smart-neo-qled-4k-98-inch-samsung-qa98qn90a,01,Neo QLED,Tivi
Samsung Smart TV QLED QA75QN800A,139.900.000₫,,,,https://www.dienmayxanh.com/tivi/neo-qled-8k-samsung-qa75qn800a,01,Neo QLED,Tivi
Samsung Smart TV QLED QA85QN900C Mới 2023,218.990.000₫,,,,https://www.dienmayxanh.com/tivi/smart-tivi-neo-qled-8k-85-inch-samsung-qa85qn900c,01,Neo QLED,Tivi
Samsung Smart TV QLED QA75QN85C Mới 2023,76.900.000₫,,,,https://www.dienmayxanh.com/tivi/smart-tivi-neo-qled-4k-75-inch-samsung-qa75qn85c,01,Neo QLED,Tivi
Samsung Smart TV QLED QA85Q80B,45.200.000₫,59.900.000₫,-24%,3,https://www.dienmayxanh.com/tivi/smart-qled-4k-85-inch-samsung-qa85q80b,01,QLED,Tivi
Samsung Smart TV QLED QA75Q70B,32.200.000₫,38.900.000₫,-17%,6,https://www.dienmayxanh.com/tivi/smart-qled-4k-75-inch-samsung-qa75q70b,01,QLED,Tivi
Samsung Smart TV QLED QA75Q60C Mới 2023,35.900.000₫,,,,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-75-inch-samsung-qa75q60c,01,QLED,Tivi
Samsung Smart TV QLED QA65Q65A,14.990.000₫,18.900.000₫,-20%,115,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa65q65a,01,QLED,Tivi
Samsung Smart TV QLED QA43Q65A,11.890.000₫,12.390.000₫,,106,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa43q65a,01,QLED,Tivi
Samsung Smart TV QLED QA55Q65A,15.400.000₫,,,179,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa55q65a,01,QLED,Tivi
Samsung Smart TV QLED QA50Q65A,13.900.000₫,14.400.000₫,,149,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa50q65a,01,QLED,Tivi
Samsung Smart TV QLED QA55Q60C Mới 2023,16.900.000₫,,,5,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-55-inch-samsung-qa55q60c,01,QLED,Tivi
Samsung Smart TV QLED QA75Q65A,23.900.000₫,33.900.000₫,-29%,16,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa75q65a,01,QLED,Tivi
Samsung Smart TV QLED QA43Q60C Mới 2023,13.900.000₫,,,6,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-43-inch-samsung-qa43q60c,01,QLED,Tivi
Samsung Smart TV QLED QA65Q60C Mới 2023,20.900.000₫,,,6,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-65-inch-samsung-qa65q60c,01,QLED,Tivi
Samsung Smart TV QLED QA50Q60C Mới 2023,15.900.000₫,,,5,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-50-inch-samsung-qa50q60c,01,QLED,Tivi
Samsung Smart TV QLED QA55Q70B,18.700.000₫,18.900.000₫,,20,https://www.dienmayxanh.com/tivi/smart-qled-4k-55-inch-samsung-qa55q70b,01,QLED,Tivi
Samsung Smart TV QLED QA65Q70B,21.400.000₫,22.400.000₫,,17,https://www.dienmayxanh.com/tivi/smart-qled-4k-65-inch-samsung-qa65q70b,01,QLED,Tivi
Samsung Smart TV QLED QA75Q80B,29.900.000₫,40.900.000₫,-26%,6,https://www.dienmayxanh.com/tivi/smart-qled-4k-75-inch-samsung-qa75q80b,01,QLED,Tivi
Samsung Smart TV QLED QA65Q80B,23.500.000₫,27.900.000₫,-15%,7,https://www.dienmayxanh.com/tivi/smart-qled-4k-65-inch-samsung-qa65q80b,01,QLED,Tivi
