product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
LG Inverter 11.5 Kg T2351VSAB,6.590.000₫,9.390.000₫,-29%,230,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-115-kg-t2351vsab,01,,Washing Machine
LG Inverter 8.5 Kg FV1408S4W,9.390.000₫,12.190.000₫,-22%,978,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-85-kg-fv1408s4w,01,,Washing Machine
LG Inverter 10 Kg FV1410S3B,11.950.000₫,18.290.000₫,-34%,478,https://www.dienmayxanh.com/may-giat/lg-inverter-10-kg-fv1410s3b,01,,Washing Machine
LG Inverter 10 Kg FV1410S5W,9.490.000₫,15.990.000₫,-40%,278,https://www.dienmayxanh.com/may-giat/lg-inverter-10-kg-fv1410s5w,01,,Washing Machine
LG Inverter Giặt 9 Kg - Sấy 5 Kg FV1409G4V,12.400.000₫,20.990.000₫,-40%,317,https://www.dienmayxanh.com/may-giat/fv1409g4v,01,,Washing Machine
LG Inverter 9 Kg T2109VSAB,6.540.000₫,7.090.000₫,-7%,207,https://www.dienmayxanh.com/may-giat/may-giat-lg-t2109vsab,01,,Washing Machine
LG Inverter 10.5 Kg FV1450S3W2,11.990.000₫,17.690.000₫,-32%,162,https://www.dienmayxanh.com/may-giat/lg-inverter-105-kg-fv1450s3w2,01,,Washing Machine
LG Inverter 9 Kg FV1409S2V,11.590.000₫,16.790.000₫,-30%,302,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1409s2v,01,,Washing Machine
LG Inverter 10.5 Kg T2350VSAB,6.950.000₫,7.990.000₫,-13%,123,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-105-kgt2350vsab,01,,Washing Machine
LG Inverter 14 Kg TV2514DV3B Mới 2023,10.590.000₫,11.990.000₫,-11%,16,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-14-kg-tv2514dv3b,01,,Washing Machine
LG Inverter 11 Kg FV1411S4P,14.190.000₫,19.790.000₫,-28%,116,https://www.dienmayxanh.com/may-giat/lg-inverter-11-kg-fv1411s4p,01,,Washing Machine
LG Inverter 9 Kg FV1409S4W,8.990.000₫,13.890.000₫,-35%,334,https://www.dienmayxanh.com/may-giat/lg-fv1409s4w,01,,Washing Machine
LG Inverter 12 Kg FV1412S3BA Mới 2023,16.490.000₫,21.490.000₫,-23%,5,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1412s3ba,01,,Washing Machine
LG Inverter 10 Kg FV1410S4P,12.950.000₫,16.990.000₫,-23%,273,https://www.dienmayxanh.com/may-giat/lg-inverter-10-kg-fv1410s4p,01,,Washing Machine
LG Inverter 13 Kg T2313VSAB,8.250.000₫,12.090.000₫,-31%,167,https://www.dienmayxanh.com/may-giat/lg-inverter-13-kg-t2313vsab,01,,Washing Machine
LG Inverter 16 Kg TV2516DV3B Mới 2023,10.590.000₫,13.990.000₫,-24%,10,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-16-kg-tv2516dv3b,01,,Washing Machine
LG Inverter 11 Kg FV1411S4WA Mới 2023,12.890.000₫,16.990.000₫,-24%,8,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1411s4wa,01,,Washing Machine
LG Inverter 8.5 Kg FV1408S4V,10.390.000₫,12.990.000₫,-20%,129,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1408s4v,01,,Washing Machine
LG Inverter Giặt 10 Kg - Sấy 6 Kg FV1410D4P,15.700.000₫,22.190.000₫,-29%,12,https://www.dienmayxanh.com/may-giat/lg-inverter-10-kg-fv1410d4p,01,,Washing Machine
LG Inverter Giặt 11 Kg - Sấy 7 Kg FV1411H3BA,17.950.000₫,27.090.000₫,-33%,20,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-11kg-fv1411h3ba,01,,Washing Machine
LG Inverter 15 Kg F2515STGW,18.890.000₫,26.990.000₫,-30%,84,https://www.dienmayxanh.com/may-giat/lg-f2515stgw,01,,Washing Machine
LG Inverter Giặt 15 Kg - Sấy 8 Kg F2515RTGB,21.790.000₫,30.990.000₫,-29%,48,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-15-kg-f2515rtgb,01,,Washing Machine
LG Inverter 11 Kg TH2111DSAB,8.790.000₫,11.090.000₫,-20%,208,https://www.dienmayxanh.com/may-giat/lg-th2111dsab,01,,Washing Machine
LG Inverter Giặt 11 Kg - Sấy 7 Kg FV1411D4W,15.950.000₫,25.090.000₫,-36%,18,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-11kg-fv1411d4w,01,,Washing Machine
LG Inverter 12 Kg FV1412S3PA Mới 2023,15.990.000₫,19.990.000₫,-20%,,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1412s3pa,01,,Washing Machine
LG Inverter 18 Kg TV2518DV3B Mới 2023,11.790.000₫,15.990.000₫,-26%,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-18-kg-tv2518dv3b,01,,Washing Machine
LG Inverter 14 Kg FV1414S3P Mới 2023,15.950.000₫,23.990.000₫,-33%,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-14-kg-fv1414s3p,01,,Washing Machine
Tủ chăm sóc quần áo thông minh LG Inverter 6.5 Kg Styler S5MB,45.490.000₫,65.000.000₫,-30%,11,https://www.dienmayxanh.com/may-giat/tu-cham-soc-quan-ao-thong-minh-lg-s5mb,01,,Washing Machine
Tủ chăm sóc quần áo thông minh LG Inverter 5.2 Kg S3MFC,36.900.000₫,55.000.000₫,-32%,,https://www.dienmayxanh.com/may-giat/tu-cham-soc-quan-ao-thong-minh-lg-s3mfc,01,,Washing Machine
LG Inverter 13 Kg FV1413S4W Mới 2023,14.940.000₫,17.490.000₫,-14%,5,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1413s4w,01,,Washing Machine
LG Inverter 19 Kg TH2519SSAK,13.990.000₫,17.990.000₫,-22%,38,https://www.dienmayxanh.com/may-giat/lg-th2519ssak,01,,Washing Machine
LG Inverter 19 Kg TV2519DV7B Mới 2023,14.090.000₫,16.990.000₫,-17%,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-19-kg-tv2519dv7b,01,,Washing Machine
LG Inverter Giặt 14 Kg - Sấy 10 Kg WT1410NHB,47.490.000₫,64.990.000₫,-26%,,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-14-kg-wt1410nhb,01,,Washing Machine
LG Inverter 20 Kg TV2520DV7J Mới 2023,14.950.000₫,17.490.000₫,-14%,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-20-kg-tv2520dv7j,01,,Washing Machine
LG Inverter 13 Kg TH2113SSAK,10.990.000₫,13.690.000₫,-19%,24,https://www.dienmayxanh.com/may-giat/lg-th2113ssak,01,,Washing Machine
LG Inverter Giặt 21 Kg - Sấy 16 Kg WT2116SHEG,64.400.000₫,74.990.000₫,-14%,,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-21-kg-wt2116sheg,01,,Washing Machine
LG Inverter 14 Kg FV1414S3BA Mới 2023,18.890.000₫,25.490.000₫,-25%,,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1414s3ba,01,,Washing Machine
LG Inverter Giặt 21 Kg - Sấy 12 Kg F2721HVRB,35.990.000₫,41.990.000₫,-14%,,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-21-kg-f2721hvrb,01,,Washing Machine
LG Inverter 12 Kg TH2112SSAV,10.890.000₫,12.990.000₫,-16%,29,https://www.dienmayxanh.com/may-giat/lg-th2112ssav,01,,Washing Machine
