product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Panasonic Inverter 1 HP CU/CS-PU9ZKH-8M Mới 2023,11390000.0,11390000.0,0,319,,https://www.dienmayxanh.com/may-lanh/panasonic-inverter-1-hp-cu-cs-pu9zkh-8,Air Conditioner,Panasonic
Panasonic Inverter 1.5 HP CU/CS-PU12ZKH-8M Mới 2023,13890000.0,13890000.0,0,235,,https://www.dienmayxanh.com/may-lanh/panasonic-inverter-15-hp-cu-cs-pu12zkh-8,Air Conditioner,Panasonic
Panasonic Inverter 1 HP CU/CS-XU9ZKH-8 Mới 2023,13990000.0,13990000.0,0,110,,https://www.dienmayxanh.com/may-lanh/panasonic-inverter-1-hp-cu-cs-xu9zkh-8,Air Conditioner,Panasonic
Panasonic Inverter 1.5 HP CU/CS-XU12ZKH-8 Mới 2023,17390000.0,17390000.0,0,37,,https://www.dienmayxanh.com/may-lanh/panasonic-inverter-15-hp-cu-cs-xu12zkh-8,Air Conditioner,Panasonic
Panasonic Inverter 2 HP CS-PU18XKH-8M,18690000.0,18690000.0,0,47,,https://www.dienmayxanh.com/may-lanh/panasonic-cs-pu18xkh-8m,Air Conditioner,Panasonic
Panasonic Inverter 1 HP CU/CS-XU9XKH-8,10790000.0,13490000.0,20,201,,https://www.dienmayxanh.com/may-lanh/panasonic-cu-cs-xu9xkh-8,Air Conditioner,Panasonic
Panasonic Inverter 1.5 HP CU/CS-PU12WKH-8M,12890000.0,12890000.0,0,198,,https://www.dienmayxanh.com/may-lanh/panasonic-cu-cs-pu12wkh-8m,Air Conditioner,Panasonic
Panasonic 1 HP CU/CS-N9WKH-8M,,,0,94,,https://www.dienmayxanh.com/may-lanh/panasonic-cu-cs-n9wkh-8m,Air Conditioner,Panasonic
Panasonic Inverter 2.5 HP S-2430PU3H/U-24PR1H5,38250000.0,38250000.0,0,0,,https://www.dienmayxanh.com/may-lanh/may-lanh-am-tran-panasonic-25-hp-s-2430pu3h-u-24pr1h5,Air Conditioner,Panasonic
Panasonic Inverter 2 HP S-1821PU3HA/U-21PRH1H5,41850000.0,41850000.0,0,0,,https://www.dienmayxanh.com/may-lanh/may-lanh-am-tran-panasonic-inverter-2-hp-s-1821pu3ha-u-21prh1h5,Air Conditioner,Panasonic
Panasonic Inverter 4 HP S-3448PU3HA/U-34PRH1H5,54390000.0,54390000.0,0,0,,https://www.dienmayxanh.com/may-lanh/may-lanh-am-tran-panasonic-4-hp-s-3448pu3ha-u-34prh1h5,Air Conditioner,Panasonic
Panasonic Inverter 5 HP S-3448PU3HA/U-48PRH1H5,63590000.0,63590000.0,0,0,,https://www.dienmayxanh.com/may-lanh/may-lanh-am-tran-panasonic-5-hp-s-3448pu3ha-u-48prh1h5,Air Conditioner,Panasonic
