product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Samsung Inverter 208 lít RT20HAR8DBU/SV,5990000,7890000,24,370,,https://www.dienmayxanh.com/tu-lanh/samsung-rt20har8dbu-sv,Fridge,Samsung
Samsung Inverter 236 lít RT22M4032BY/SV,5990000,9390000,36,454,,https://www.dienmayxanh.com/tu-lanh/samsung-rt22m4032by-sv,Fridge,Samsung
Samsung Inverter 655 lít RS62R5001M9/SV,14990000,22900000,34,524,,https://www.dienmayxanh.com/tu-lanh/samsung-rs62r5001m9-sv,Fridge,Samsung
Samsung Inverter 488 lít RF48A4010M9/SV,17990000,26090000,31,163,,https://www.dienmayxanh.com/tu-lanh/samsung-rf48a4010m9-sv,Fridge,Samsung
Samsung Inverter 488 lít RF48A4000B4/SV,17490000,23990000,27,330,,https://www.dienmayxanh.com/tu-lanh/samsung-rf48a4000b4-sv,Fridge,Samsung
Samsung Inverter 655 lít RS62R5001B4/SV,16490000,25090000,34,230,,https://www.dienmayxanh.com/tu-lanh/samsung-rs62r5001b4-sv,Fridge,Samsung
Samsung Inverter 280 lít RB27N4010BU/SV,9990000,12590000,20,162,,https://www.dienmayxanh.com/tu-lanh/samsung-rb27n4010bu-sv,Fridge,Samsung
Samsung Inverter 236 lít RT22M4032BU/SV,6690000,9590000,30,119,,https://www.dienmayxanh.com/tu-lanh/samsung-rt22m4032bu-sv,Fridge,Samsung
Samsung Inverter 406 lít RT42CG6584B1SV Mới 2023,15890000,17990000,11,13,,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-406-lit-rt42cg6584b1sv,Fridge,Samsung
Samsung Inverter 307 lít RB30N4190BY/SV,13990000,17490000,20,527,,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-307-lit-rb30n4190by-sv,Fridge,Samsung
Samsung Inverter 382 lít RT38CG6584B1SV Mới 2023,14440000,16490000,12,12,,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-382-lit-rt38cg6584b1sv,Fridge,Samsung
Samsung Inverter 276 lít RB27N4170BU/SV,10540000,13590000,22,61,,https://www.dienmayxanh.com/tu-lanh/samsung-rb27n4170bu-sv,Fridge,Samsung
Samsung Inverter 276 lít RB27N4190BU/SV,11540000,14590000,20,38,,https://www.dienmayxanh.com/tu-lanh/samsung-rb27n4190bu-sv,Fridge,Samsung
Samsung Inverter 488 lít RF48A4010B4/SV,19990000,27990000,28,179,,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-488-lit-rf48a4010b4-sv,Fridge,Samsung
Samsung Inverter 307 lít RB30N4190BU/SV,14290000,17790000,19,38,,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-307-lit-rb30n4190bu-sv,Fridge,Samsung
Samsung Inverter 635 lít RS64R53012C/SV,28890000,44900000,35,96,,https://www.dienmayxanh.com/tu-lanh/samsung-rs64r53012c-sv,Fridge,Samsung
Samsung Inverter 406 lít RT42CB6784C3SV Mới 2023,15490000,18690000,17,4,,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-406-lit-rt42cb6784c3sv,Fridge,Samsung
Samsung Inverter 208 lít RT19M300BGS/SV,6290000,6890000,8,574,,https://www.dienmayxanh.com/tu-lanh/samsung-rt19m300bgs-sv,Fridge,Samsung
Samsung Inverter 322 lít RT32K503JB1/SV,9490000,11590000,18,108,,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-322-lit-rt32k503jb1-sv,Fridge,Samsung
Samsung Inverter 635 lít RS64R5301B4/SV,24550000,39900000,38,108,,https://www.dienmayxanh.com/tu-lanh/samsung-rs64r5301b4-sv,Fridge,Samsung
Samsung Inverter 345 lít RT35CG5544B1SV Mới 2023,12490000,13690000,8,3,,https://www.dienmayxanh.com/tu-lanh/rt35cg5544b1sv,Fridge,Samsung
Samsung Inverter 616 lít RS64T5F01B4/SV,36490000,58900000,38,74,,https://www.dienmayxanh.com/tu-lanh/samsung-rs64t5f01b4-sv,Fridge,Samsung
Samsung Inverter 648 lít RF59C766FB1/SV Mới 2023,31990000,42900000,25,6,,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-648-lit-rf59c766fb1-sv,Fridge,Samsung
Samsung Inverter 460 lít RT47CB66868ASV Mới 2023,17990000,20690000,13,5,,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-460-lit-rt47cb66868asv,Fridge,Samsung
Samsung Inverter 310 lít RB30N4010BU/SV,11190000,16090000,30,16,,https://www.dienmayxanh.com/tu-lanh/samsung-rb30n4010bu-sv,Fridge,Samsung
Samsung Inverter 649 lít RF59C700ES9/SV Mới 2023,27790000,38900000,28,6,,https://www.dienmayxanh.com/tu-lanh/rf59c700es9-sv,Fridge,Samsung
Samsung Inverter 648 lít RF59CB66F8S/SV Mới 2023,38490000,49900000,22,7,,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-648-lit-rf59cb66f8s-sv,Fridge,Samsung
Samsung Inverter 305 lít RT31CB56248ASV Mới 2023,11990000,12890000,6,3,,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-305-lit-rt31cb56248asv,Fridge,Samsung
Samsung Inverter 302 lít RT29K503JB1/SV,8590000,10990000,21,24,,https://www.dienmayxanh.com/tu-lanh/samsung-inverter-302-lit-rt29k503jb1-sv,Fridge,Samsung
Samsung Inverter 305 lít RT31CG5424B1SV Mới 2023,10490000,11190000,6,0,,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-305-lit-rt31cg5424b1sv,Fridge,Samsung
Samsung Inverter 348 lít RT35CG5424B1SV Mới 2023,11490000,12690000,9,0,,https://www.dienmayxanh.com/tu-lanh/tu-lanh-samsung-inverter-348-lit-rt35cg5424b1sv,Fridge,Samsung
Samsung Inverter 319 lít RT32K5932BY/SV,12190000,15090000,19,255,,https://www.dienmayxanh.com/tu-lanh/samsung-rt32k5932by-sv,Fridge,Samsung
Samsung Inverter 385 lít RT38CB668412SV Mới 2023,16290000,17490000,6,0,,https://www.dienmayxanh.com/tu-lanh/rt38cb668412sv,Fridge,Samsung
Samsung Inverter 299 lít RT29K5532BY/SV,9990000,12790000,21,66,,https://www.dienmayxanh.com/tu-lanh/samsung-rt29k5532by-sv,Fridge,Samsung
Samsung Inverter 319 lít RT32K5932BU/SV,12190000,15190000,19,19,,https://www.dienmayxanh.com/tu-lanh/samsung-rt32k5932bu-sv,Fridge,Samsung
Samsung Inverter 339 lít RB33T307029/SV,29000000,32900000,11,5,,https://www.dienmayxanh.com/tu-lanh/samsunginverter-339-lit-rb33t307029-sv,Fridge,Samsung
Samsung Inverter 380 lít RT38K5982BS/SV,17880000,20090000,10,240,,https://www.dienmayxanh.com/tu-lanh/samsung-rt38k5982bs-sv,Fridge,Samsung
