product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Samsung Smart TV QLED QA65QN90C Mới 2023,53900000.0,54900000.0,0,0,Neo QLED,https://www.dienmayxanh.com/tivi/smart-tivi-neo-qled-4k-65-inch-samsung-qa65qn90c,Tivi,Samsung
Samsung Smart TV QLED QA75QN85A,36800000.0,84900000.0,56,3,Neo QLED,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa75qn85a,Tivi,Samsung
Samsung Smart TV QLED QA55QN85A,24900000.0,41900000.0,40,9,Neo QLED,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa55qn85a,Tivi,Samsung
Samsung Smart TV QLED QA65QN700B,32900000.0,59900000.0,45,0,Neo QLED,https://www.dienmayxanh.com/tivi/smart-neo-qled-8k-65-inch-samsung-qa65qn700b,Tivi,Samsung
Samsung Smart TV QLED QA85QN85B,64900000.0,89900000.0,27,4,Neo QLED,https://www.dienmayxanh.com/tivi/smart-neo-qled-4k-85-inch-samsung-qa85qn85b,Tivi,Samsung
Samsung Smart TV QLED QA50QN90A,19900000.0,39900000.0,50,9,Neo QLED,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa50qn90a,Tivi,Samsung
Samsung Smart TV QLED QA55QN90A,30900000.0,44900000.0,31,47,Neo QLED,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa55qn90a,Tivi,Samsung
Samsung Smart TV QLED QA65QN900B,63600000.0,99900000.0,36,0,Neo QLED,https://www.dienmayxanh.com/tivi/smart-neo-qled-8k-65-inch-samsung-qa65qn900b,Tivi,Samsung
Samsung Smart TV QLED QA75QN85B,54900000.0,69900000.0,21,0,Neo QLED,https://www.dienmayxanh.com/tivi/smart-neo-qled-4k-75-inch-samsung-qa75qn85b,Tivi,Samsung
Samsung Smart TV QLED QA85QN85A,53200000.0,124900000.0,57,0,Neo QLED,https://www.dienmayxanh.com/tivi/neo-qled-4k-samsung-qa85qn85a,Tivi,Samsung
Samsung Smart TV QLED QA98QN90A,139890000.0,155090000.0,9,0,Neo QLED,https://www.dienmayxanh.com/tivi/smart-neo-qled-4k-98-inch-samsung-qa98qn90a,Tivi,Samsung
Samsung Smart TV QLED QA75QN800A,139900000.0,139900000.0,0,0,Neo QLED,https://www.dienmayxanh.com/tivi/neo-qled-8k-samsung-qa75qn800a,Tivi,Samsung
Samsung Smart TV QLED QA85QN900C Mới 2023,218990000.0,218990000.0,0,0,Neo QLED,https://www.dienmayxanh.com/tivi/smart-tivi-neo-qled-8k-85-inch-samsung-qa85qn900c,Tivi,Samsung
Samsung Smart TV QLED QA75QN85C Mới 2023,76900000.0,76900000.0,0,0,Neo QLED,https://www.dienmayxanh.com/tivi/smart-tivi-neo-qled-4k-75-inch-samsung-qa75qn85c,Tivi,Samsung
Samsung Smart TV QLED QA85Q80B,45200000.0,59900000.0,24,3,QLED,https://www.dienmayxanh.com/tivi/smart-qled-4k-85-inch-samsung-qa85q80b,Tivi,Samsung
Samsung Smart TV QLED QA75Q70B,32200000.0,38900000.0,17,6,QLED,https://www.dienmayxanh.com/tivi/smart-qled-4k-75-inch-samsung-qa75q70b,Tivi,Samsung
Samsung Smart TV QLED QA75Q60C Mới 2023,35900000.0,35900000.0,0,0,QLED,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-75-inch-samsung-qa75q60c,Tivi,Samsung
Samsung Smart TV QLED QA65Q65A,14990000.0,18900000.0,20,115,QLED,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa65q65a,Tivi,Samsung
Samsung Smart TV QLED QA43Q65A,11890000.0,12390000.0,0,106,QLED,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa43q65a,Tivi,Samsung
Samsung Smart TV QLED QA55Q65A,15400000.0,15400000.0,0,179,QLED,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa55q65a,Tivi,Samsung
Samsung Smart TV QLED QA50Q65A,13900000.0,14400000.0,0,149,QLED,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa50q65a,Tivi,Samsung
Samsung Smart TV QLED QA55Q60C Mới 2023,16900000.0,16900000.0,0,5,QLED,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-55-inch-samsung-qa55q60c,Tivi,Samsung
Samsung Smart TV QLED QA75Q65A,23900000.0,33900000.0,29,16,QLED,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa75q65a,Tivi,Samsung
Samsung Smart TV QLED QA43Q60C Mới 2023,13900000.0,13900000.0,0,6,QLED,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-43-inch-samsung-qa43q60c,Tivi,Samsung
Samsung Smart TV QLED QA65Q60C Mới 2023,20900000.0,20900000.0,0,6,QLED,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-65-inch-samsung-qa65q60c,Tivi,Samsung
Samsung Smart TV QLED QA50Q60C Mới 2023,15900000.0,15900000.0,0,5,QLED,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-50-inch-samsung-qa50q60c,Tivi,Samsung
Samsung Smart TV QLED QA55Q70B,18700000.0,18900000.0,0,20,QLED,https://www.dienmayxanh.com/tivi/smart-qled-4k-55-inch-samsung-qa55q70b,Tivi,Samsung
Samsung Smart TV QLED QA65Q70B,21400000.0,22400000.0,0,17,QLED,https://www.dienmayxanh.com/tivi/smart-qled-4k-65-inch-samsung-qa65q70b,Tivi,Samsung
Samsung Smart TV QLED QA75Q80B,29900000.0,40900000.0,26,6,QLED,https://www.dienmayxanh.com/tivi/smart-qled-4k-75-inch-samsung-qa75q80b,Tivi,Samsung
Samsung Smart TV QLED QA65Q80B,23500000.0,27900000.0,15,7,QLED,https://www.dienmayxanh.com/tivi/smart-qled-4k-65-inch-samsung-qa65q80b,Tivi,Samsung
Samsung Smart TV QLED QA55Q80A,21900000.0,33900000.0,35,43,QLED,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa55q80a,Tivi,Samsung
Samsung Smart TV QLED QA50Q80A,17900000.0,28900000.0,38,26,QLED,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa50q80a,Tivi,Samsung
Samsung Smart TV QLED QA65Q80A,21900000.0,42900000.0,48,44,QLED,https://www.dienmayxanh.com/tivi/qled-4k-samsung-qa65q80a,Tivi,Samsung
Samsung Smart TV QLED QA65Q80R,38030000.0,48890000.0,22,7,QLED,https://www.dienmayxanh.com/tivi/samsung-qa65q80r,Tivi,Samsung
Samsung Smart TV QLED QA82Q75R,43890000.0,69990000.0,37,0,QLED,https://www.dienmayxanh.com/tivi/samsung-qa82q75r,Tivi,Samsung
Samsung Smart TV QLED Xoay QA43LS05B,26000000.0,26900000.0,0,0,QLED,https://www.dienmayxanh.com/tivi/smart-man-hinh-xoay-the-sero-qled-samsung-4k-43-inch-qa43ls05b,Tivi,Samsung
Samsung Smart TV QLED QA85Q70C Mới 2023,64890000.0,64890000.0,0,0,QLED,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-85-inch-samsung-qa85q70c,Tivi,Samsung
Samsung Smart TV QLED QA75Q75R,39190000.0,49990000.0,21,0,QLED,https://www.dienmayxanh.com/tivi/samsung-qa75q75r,Tivi,Samsung
Samsung Smart TV QLED QA65Q60T,22900000.0,25900000.0,11,7,QLED,https://www.dienmayxanh.com/tivi/samsung-qa65q60t,Tivi,Samsung
Samsung Smart TV QLED QA55Q80T,26310000.0,26310000.0,0,5,QLED,https://www.dienmayxanh.com/tivi/samsung-qa55q80t,Tivi,Samsung
Samsung Smart TV Crystal UHD UA55AU8100,12900000.0,13400000.0,0,317,Crystal UHD,https://www.dienmayxanh.com/tivi/led-4k-samsung-ua55au8100,Tivi,Samsung
Samsung Smart TV Crystal UHD UA50AU8100,11400000.0,12400000.0,8,167,Crystal UHD,https://www.dienmayxanh.com/tivi/led-4k-samsung-ua50au8100,Tivi,Samsung
Samsung Smart TV Crystal UHD UA65AU8100,11990000.0,16400000.0,26,203,Crystal UHD,https://www.dienmayxanh.com/tivi/led-4k-samsung-ua65au8100,Tivi,Samsung
