product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
LG Inverter 11.5 Kg T2351VSAB,6590000.0,9390000.0,29,230,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-115-kg-t2351vsab,Washing Machine,Lg
LG Inverter 8.5 Kg FV1408S4W,9390000.0,12190000.0,22,978,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-85-kg-fv1408s4w,Washing Machine,Lg
LG Inverter 10 Kg FV1410S3B,11950000.0,18290000.0,34,478,,https://www.dienmayxanh.com/may-giat/lg-inverter-10-kg-fv1410s3b,Washing Machine,Lg
LG Inverter 10 Kg FV1410S5W,9490000.0,15990000.0,40,278,,https://www.dienmayxanh.com/may-giat/lg-inverter-10-kg-fv1410s5w,Washing Machine,Lg
LG Inverter Giặt 9 Kg - Sấy 5 Kg FV1409G4V,12400000.0,20990000.0,40,317,,https://www.dienmayxanh.com/may-giat/fv1409g4v,Washing Machine,Lg
LG Inverter 9 Kg T2109VSAB,6540000.0,7090000.0,7,207,,https://www.dienmayxanh.com/may-giat/may-giat-lg-t2109vsab,Washing Machine,Lg
LG Inverter 10.5 Kg FV1450S3W2,11990000.0,17690000.0,32,162,,https://www.dienmayxanh.com/may-giat/lg-inverter-105-kg-fv1450s3w2,Washing Machine,Lg
LG Inverter 9 Kg FV1409S2V,11590000.0,16790000.0,30,302,,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1409s2v,Washing Machine,Lg
LG Inverter 10.5 Kg T2350VSAB,6950000.0,7990000.0,13,123,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-105-kgt2350vsab,Washing Machine,Lg
LG Inverter 14 Kg TV2514DV3B Mới 2023,10590000.0,11990000.0,11,16,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-14-kg-tv2514dv3b,Washing Machine,Lg
LG Inverter 11 Kg FV1411S4P,14190000.0,19790000.0,28,116,,https://www.dienmayxanh.com/may-giat/lg-inverter-11-kg-fv1411s4p,Washing Machine,Lg
LG Inverter 9 Kg FV1409S4W,8990000.0,13890000.0,35,334,,https://www.dienmayxanh.com/may-giat/lg-fv1409s4w,Washing Machine,Lg
