product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Cáp Type C - Lightning 1m Apple MM0A3,490.000₫,590.000₫,-16%,164,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-1m-apple-mm0a3-trang,01,,Cables
Cáp Type C - Lightning 2m Apple MQGH2,990.000₫,,,7,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-2m-apple-mqgh2-trang,01,,Cables
Cáp Type C - Type C 2m Apple MLL82,620.000₫,690.000₫,-10%,22,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-apple-mll82-trang,01,,Cables
Cáp chuyển đổi Lightning - 3.5mm Apple MMX62,270.000₫,300.000₫,-10%,118,https://www.thegioididong.com/cap-dien-thoai/cap-chuyen-doi-lightning-sang-35mm-mmx62,01,,Cables
Cáp chuyển đổi USB-C sang VGA Multiport Apple MJ1L2,2.070.000₫,2.590.000₫,-20%,,https://www.thegioididong.com/cap-dien-thoai/cap-chuyen-usb-c-sang-vga-multiport-apple-mj1l2,01,,Cables
Cáp chuyển đổi Thunderbolt 3 (USB-C) sang Thunderbolt 2 Apple MMEL2,1.350.000₫,1.690.000₫,-20%,4,https://www.thegioididong.com/cap-dien-thoai/cap-thunderbolt-3-usb-c-thunderbolt-2-apple-mmel2,01,,Cables
Cáp Lightning 1m Apple MXLY2,385.000₫,550.000₫,-30%,80,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-1m-apple-mxly2,01,,Cables
Cáp Type C - Type C 1m Apple MUF72,530.000₫,590.000₫,-10%,20,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-apple-muf72-trang,01,,Cables
Cáp Type-C - Type-C 0.8m Apple MQ4H2,1.030.000₫,1.290.000₫,-20%,3,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-80cm-apple-mq4h2,01,,Cables
Cáp Thunderbolt 2m Apple MD861,1.070.000₫,1.190.000₫,-10%,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-thunderbolt-2m-apple-md861-trang,01,,Cables
Cáp Lightning 2m Apple MD819,525.000₫,750.000₫,-30%,14,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-2m-apple-md819-trang,01,,Cables
Cáp Lightning MFI 0.9m Anker Select+ A8012,250.000₫,360.000₫,-30%,38,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-09m-anker-a8012,02,,Cables
Cáp Micro USB 0.9m Anker PowerLine A8132,90.000₫,100.000₫,-10%,72,https://www.thegioididong.com/cap-dien-thoai/cap-micro-09m-anker-a8132,02,,Cables
Cáp Type C - Type C 0.9m Anker PowerLine III A8852,250.000₫,,,28,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-anker-powerline-iii-a8852,02,,Cables
Cáp Lightning MFI 0.9m Anker PowerLine+ II A8452,385.000₫,430.000₫,-10%,7,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-09m-anker-powerline-ii-a8452,02,,Cables
Cáp Lightning MFI 0.9m Anker Powerline II A8432,245.000₫,330.000₫,-25%,9,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-09m-anker-powerline-ii-a8432,02,,Cables
Cáp Type C 0.9m Anker PowerLine+ A8168,350.000₫,,,7,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-09m-anker-a8168-xam,02,,Cables
Cáp Micro USB 0.9m Anker PowerLine+ A8142,200.000₫,,,13,https://www.thegioididong.com/cap-dien-thoai/cap-micro-usb-09m-anker-a8142,02,,Cables
Cáp Type C - Type C 0.9m Anker PowerLine+ A8187,350.000₫,,,10,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-09m-anker-a8187-xam,02,,Cables
Cáp Type C - Type C 1m Xmobile DS101,220.000₫,,,42,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-xmobile-ds101,03,,Cables
Cáp Type C - Type C 2m Xmobile DR-T08,220.000₫,,,38,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-xmobile-dr-t08,03,,Cables
Cáp Type C 1m Xmobile CN035,190.000₫,,,61,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-xmobile-cn035-xanh,03,,Cables
Cáp Type C - Lightning 0.2m Xmobile CN036,120.000₫,,,33,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-20cm-xmobile-cn036,03,,Cables
Cáp Type C - Lightning 2m Xmobile L2145,220.000₫,,,32,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-2m-xmobile-l2145,03,,Cables
Cáp Type C - Lightning 1m Xmobile L2145,220.000₫,,,52,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-1m-xmobile-l2145,03,,Cables
Cáp Type C 2m Xmobile DR-T07,190.000₫,,,37,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-xmobile-dr-t07,03,,Cables
Cáp Type C - Type C 1m Xmobile DR-T06,220.000₫,,,85,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-xmobile-dr-t06,03,,Cables
Cáp Type C 1m Xmobile CN033,190.000₫,,,60,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-xmobile-cn033,03,,Cables
Cáp Type C - Type C 2m Xmobile TCS2000,240.000₫,300.000₫,-20%,19,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-xmobile-tcs2000,03,,Cables
