product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Tai nghe Bluetooth AirPods 2 Lightning Charge Apple MV7N2,2.690.000₫,4.390.000₫,-38%,327,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-2-apple-mv7n2-trang,01,,Headphone
Tai nghe Bluetooth AirPods Pro MagSafe Charge Apple MLWK3,4.690.000₫,6.790.000₫,-30%,199,https://www.thegioididong.com/tai-nghe/bluetooth-airpods-pro-magsafe-charge-apple-mlwk3,01,,Headphone
Tai nghe Có Dây Apple MMTN2,590.000₫,790.000₫,-25%,219,https://www.thegioididong.com/tai-nghe/tai-nghe-earpods-cong-lightning-apple-mmtn2,01,,Headphone
Tai nghe Bluetooth AirPods 3 Lightning Charge Apple MPNY3,4.290.000₫,5.390.000₫,-20%,70,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-3-lightning-charge-apple-mpny3-trang,01,,Headphone
Tai nghe Bluetooth AirPods Pro (2nd Gen) MagSafe Charge Apple MQD83,5.990.000₫,6.990.000₫,-14%,90,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-pro-2-magsafe-charge-apple-mqd83-trang,01,,Headphone
Tai nghe Bluetooth AirPods 3 Wireless Charge Apple MME73,4.690.000₫,5.490.000₫,-14%,154,https://www.thegioididong.com/tai-nghe/airpods-3-hop-sac-khong-day,01,,Headphone
Tai nghe Bluetooth Chụp Tai AirPods Max Apple,12.490.000₫,13.990.000₫,-10%,3,https://www.thegioididong.com/tai-nghe/bluetooth-airpods-max-apple,01,,Headphone
Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 Pro R510N,3.390.000₫,4.990.000₫,-32%,77,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-galaxy-buds2-pro,02,,Headphone
Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 R177N Trắng,1.990.000₫,2.990.000₫,-33%,40,https://www.thegioididong.com/tai-nghe/samsung-galaxy-buds-2-r177n-trang,02,,Headphone
Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 Pro R510N,3.390.000₫,4.990.000₫,-32%,46,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-samsung-galaxy-buds2-pro-trang,02,,Headphone
Tai nghe Có Dây Samsung IA500,300.000₫,,,111,https://www.thegioididong.com/tai-nghe/nhet-tai-samsung-ia500-den,02,,Headphone
Tai nghe Bluetooth Chụp Tai Sony WH-CH510,990.000₫,1.190.000₫,-16%,52,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-bluetooth-sony-wh-ch510-den,03,,Headphone
Tai nghe Bluetooth True Wireless Sony WF-C700N,2.490.000₫,,,6,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-sony-wf-c700n,03,,Headphone
Tai nghe Bluetooth True Wireless Sony WF-C500,1.755.000₫,2.290.000₫,-23%,29,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-sony-wf-c500-den,03,,Headphone
Tai nghe Bluetooth Sony WI-1000XM2,5.030.000₫,6.990.000₫,-28%,4,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-bluetooth-sony-wi-1000xm2,03,,Headphone
Tai nghe Bluetooth Sony WI-C200,710.000₫,990.000₫,-28%,104,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-sony-wi-c200-den,03,,Headphone
Tai nghe Có Dây Sony MDR-EX15AP,200.000₫,,,115,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-sony-mdr-ex15aplize,03,,Headphone
Tai nghe Bluetooth Sony WI-SP500,745.000₫,1.490.000₫,-50%,17,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-sony-wi-sp500,03,,Headphone
Tai nghe Có Dây Sony Extra Bass MDR-XB55AP,500.000₫,790.000₫,-36%,74,https://www.thegioididong.com/tai-nghe/tai-nghe-nhet-tai-ep-sony-extra-bass-mdr-xb55ap,03,,Headphone
Tai nghe Có Dây Sony MDR-EX155AP,310.000₫,390.000₫,-20%,25,https://www.thegioididong.com/tai-nghe/tai-nghe-nhet-tai-ep-sony-mdr-ex155ap,03,,Headphone
Tai nghe Có Dây Sony MDR-E9LP,130.000₫,160.000₫,-18%,127,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-sony-mdr-e9lp-bc-e,03,,Headphone
Tai nghe Chụp Tai Sony MDR - ZX110AP,430.000₫,540.000₫,-20%,41,https://www.thegioididong.com/tai-nghe/tai-nghe-sony-mdr-zx110ap,03,,Headphone
Tai nghe Có Dây JBL C200 SIU,290.000₫,,,7,https://www.thegioididong.com/tai-nghe/tai-nghe-co-day-jbl-c200-siu,04,,Headphone
Tai nghe Có Dây Gaming JBL Quantum 50,530.000₫,890.000₫,-40%,62,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-gaming-jbl-quantum-50,04,,Headphone
Tai nghe Bluetooth True Wireless JBL T115TWS,745.000₫,1.490.000₫,-50%,109,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-jbl-t115tws,04,,Headphone
Tai nghe Bluetooth True Wireless JBL LIVE 300,3.990.000₫,,,11,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-jbl-live-300,04,,Headphone
Tai nghe Bluetooth True Wireless JBL Tune 120,995.000₫,1.990.000₫,-50%,48,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-jbl-t120,04,,Headphone
Tai nghe Bluetooth JBL T110BT,485.000₫,890.000₫,-45%,43,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-jbl-t110btblu-xanh-duong,04,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Air 2 ETE11,900.000₫,1.290.000₫,-30%,97,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-oppo-enco-air-2-ete11,05,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Air 3 ETE31,1.590.000₫,,,38,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-oppo-enco-air-3-ete31,05,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Buds 2 ETE41,890.000₫,990.000₫,-10%,141,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-oppo-enco-buds-2-ete41-trang,05,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Air 2 Pro ETE21,1.790.000₫,,,86,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-oppo-enco-air-2-pro-ete21,05,,Headphone
Tai nghe Bluetooth True Wireless OPPO ENCO Buds ETI81,590.000₫,790.000₫,-25%,251,https://www.thegioididong.com/tai-nghe/bluetooth-tws-oppo-enco-buds-eti81,05,,Headphone
Tai nghe Có Dây OPPO MH151,590.000₫,,,36,https://www.thegioididong.com/tai-nghe/co-day-ep-oppo-mh151,05,,Headphone
Tai nghe Có Dây OPPO MH320,180.000₫,,,308,https://www.thegioididong.com/tai-nghe/co-day-ep-oppo-mh320,05,,Headphone
Tai nghe Bluetooth TWS Xiaomi Redmi Buds 4 Lite,690.000₫,790.000₫,-12%,105,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-xiaomi-redmi-buds-4-lite,06,,Headphone
Tai nghe Bluetooth True Wireless Beats Powerbeats Pro,3.590.000₫,5.990.000₫,-40%,12,https://www.thegioididong.com/tai-nghe/khong-day-powerbeats-pro,07,,Headphone
Tai nghe Bluetooth Beats High-Performance,3.190.000₫,3.990.000₫,-20%,,https://www.thegioididong.com/tai-nghe/bluetooth-high-performance-beats-mwnv2-mwnw2-mwnx2,07,,Headphone
Tai nghe Bluetooth True Wireless Beats Studio Buds,2.390.000₫,3.990.000₫,-40%,50,https://www.thegioididong.com/tai-nghe/beats-studio-buds-mj4x3,07,,Headphone
Tai nghe Bluetooth Chụp Tai Beats Solo3 Wireless,3.290.000₫,5.490.000₫,-40%,,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-beats-solo3-mx432-mv8t2-mx472,07,,Headphone
Tai nghe Bluetooth True Wireless Mozard TS13,225.000₫,450.000₫,-50%,756,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-ts13,08,,Headphone
Tai nghe Bluetooth True Wireless Mozard Air 3,445.000₫,890.000₫,-50%,196,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-air-3-den,08,,Headphone
Tai nghe Bluetooth Chụp Tai Mozard K8,400.000₫,500.000₫,-20%,150,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-k8,08,,Headphone
Tai nghe Có Dây Mozard DS510-WB,120.000₫,150.000₫,-20%,260,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-mozard-ds510-wb-xanh,08,,Headphone
Tai nghe Bluetooth 1 Bên Mozard Q6C,90.000₫,300.000₫,-70%,84,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-q6c-xanh-navy,08,,Headphone
Tai nghe Bluetooth True Wireless Mozard Q7,280.000₫,350.000₫,-20%,27,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-q7-hong,08,,Headphone
Tai nghe Có Dây Mozard DS510-WB,120.000₫,150.000₫,-20%,54,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-mozard-ds510-wb-xanh-nanvy,08,,Headphone
Tai nghe Bluetooth True Wireless Mozard Air 6,595.000₫,950.000₫,-37%,195,https://www.thegioididong.com/tai-nghe/mozard-air-6,08,,Headphone
Tai nghe Chụp Tai Mozard IP-360,95.000₫,180.000₫,-45%,135,https://www.thegioididong.com/tai-nghe/chup-tai-mozard-ip-360,08,,Headphone
Tai nghe Bluetooth 1 Bên Mozard LE003,240.000₫,300.000₫,-20%,83,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-le003-den,08,,Headphone
