product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
MacBook Air 13 inch M1 2020 7-core GPU,18.390.000₫,22.990.000₫,-20%,155,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,01,MacBook Air,Laptop
MacBook Air 13 inch M2 2022 8-core GPU,27.590.000₫,32.990.000₫,-16%,54,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022,01,MacBook Air,Laptop
MacBook Air 13 inch M2 2022 10-core GPU,39.490.000₫,46.990.000₫,-15%,10,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb,01,MacBook Air,Laptop
MacBook Air 15 inch M2 2023 10-core GPU,37.990.000₫,,,,https://www.thegioididong.com/laptop/apple-macbook-air-15-inch-m2-2023,01,MacBook Air,Laptop
MacBook Air 15 inch M2 2023 10-core GPU,37.990.000₫,,,,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2023-16gb,01,MacBook Air,Laptop
MacBook Air 15 inch M2 2023 10-core GPU,31.990.000₫,,,,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2023,01,MacBook Air,Laptop
MacBook Pro 13 inch M2 2022 10-core GPU,29.890.000₫,35.990.000₫,-16%,31,https://www.thegioididong.com/laptop/apple-macbook-pro-13-inch-m2-2022,01,MacBook Pro 13 inch,Laptop
MacBook Pro 13 inch M2 2022 10-core GPU,38.390.000₫,45.990.000₫,-16%,17,https://www.thegioididong.com/laptop/apple-macbook-pro-m2-2022-16gb,01,MacBook Pro 13 inch,Laptop
MacBook Pro 13 inch M1 2020 8-core GPU,34.990.000₫,42.690.000₫,-18%,41,https://www.thegioididong.com/laptop/apple-macbook-pro-2020-z11c,01,MacBook Pro 13 inch,Laptop
MacBook Pro 13 inch M2 2022 10-core GPU,34.490.000₫,41.990.000₫,-17%,6,https://www.thegioididong.com/laptop/apple-macbook-pro-m2-2022,01,MacBook Pro 13 inch,Laptop
