product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Loa Bluetooth JBL Go 3,890.000₫,1.090.000₫,-18%,61,https://www.thegioididong.com/loa-laptop/bluetooth-jbl-go-3-xanh-den,01,,Laptop Speaker
Loa Bluetooth JBL Pulse 5,5.880.000₫,6.690.000₫,-12%,12,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-pulse-5,01,,Laptop Speaker
Loa Bluetooth JBL Partybox On The Go,5.990.000₫,6.990.000₫,-14%,14,https://www.thegioididong.com/loa-laptop/jbl-partybox-on-the-go,01,,Laptop Speaker
Loa Bluetooth JBL Charge 5,3.290.000₫,3.990.000₫,-17%,12,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-charge-5,01,,Laptop Speaker
Loa Bluetooth JBL Boombox 3,10.250.000₫,11.990.000₫,-14%,8,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-boombox-3,01,,Laptop Speaker
Loa Bluetooth JBL Go Essential,690.000₫,790.000₫,-12%,15,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-go-essential,01,,Laptop Speaker
Loa Bluetooth JBL Partybox 310,13.900.000₫,14.900.000₫,-6%,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-partybox-310,01,,Laptop Speaker
Loa Bluetooth JBL Partybox 110,10.950.000₫,12.900.000₫,-15%,3,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-partybox-110-imei,01,,Laptop Speaker
Loa Bluetooth JBL Flip 6,2.650.000₫,2.990.000₫,-11%,28,https://www.thegioididong.com/loa-laptop/bluetooth-jbl-flip-6,01,,Laptop Speaker
Loa siêu trầm JBL PASION 12SP,11.600.000₫,14.500.000₫,-20%,3,https://www.thegioididong.com/loa-laptop/loa-sieu-tram-jbl-pasion-12sp-300w,01,,Laptop Speaker
Amply JBL BEYOND3,17.520.000₫,21.900.000₫,-20%,,https://www.thegioididong.com/loa-laptop/amply-jbl-beyond3-720w,01,,Laptop Speaker
Amply JBL BEYOND1,13.520.000₫,16.900.000₫,-20%,,https://www.thegioididong.com/loa-laptop/thiet-bi-khuech-dai-am-tan-jbl-beyond1,01,,Laptop Speaker
Loa điện JBL IRX112BT,10.520.000₫,13.400.000₫,-21%,,https://www.thegioididong.com/loa-laptop/loa-keo-jbl-irx112bt,01,,Laptop Speaker
Loa điện JBL IRX108BT,9.360.000₫,11.700.000₫,-20%,,https://www.thegioididong.com/loa-laptop/loa-keo-jbl-irx108bt,01,,Laptop Speaker
Loa Bluetooth JBL Charge 5,3.290.000₫,3.990.000₫,-17%,22,https://www.thegioididong.com/loa-laptop/bluetooth-jbl-charge-5,01,,Laptop Speaker
