product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Apple Watch Ultra LTE 49mm viền Titanium dây Alpine size M,18.990.000₫,23.990.000₫,-20%,11,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-alpine-m,01,Apple Watch Ultra,Smartwatch
Apple Watch Ultra GPS + Cellular 49mm Ocean Band,18.990.000₫,23.990.000₫,-20%,12,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-cao-su,01,Apple Watch Ultra,Smartwatch
Apple Watch Ultra LTE 49mm viền Titanium dây Alpine size S,18.990.000₫,23.990.000₫,-20%,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-alpine-s,01,Apple Watch Ultra,Smartwatch
Apple Watch S8 GPS 41mm viền nhôm dây silicone,9.290.000₫,11.990.000₫,-22%,33,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-41mm,01,Apple Watch S8,Smartwatch
Apple Watch S8 GPS 45mm viền nhôm dây silicone,10.490.000₫,12.990.000₫,-19%,58,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8,01,Apple Watch S8,Smartwatch
Apple Watch S8 LTE 45mm viền nhôm dây silicone,13.190.000₫,15.990.000₫,-17%,9,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm,01,Apple Watch S8,Smartwatch
Apple Watch S8 LTE 41mm viền nhôm dây silicone,11.990.000₫,14.990.000₫,-20%,6,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm,01,Apple Watch S8,Smartwatch
Apple Watch S8 LTE 45mm viền thép dây silicone,17.990.000₫,21.990.000₫,-18%,4,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm-vien-thep,01,Apple Watch S8,Smartwatch
Apple Watch S8 LTE 45mm viền thép dây thép,18.990.000₫,22.990.000₫,-17%,5,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm-day-thep,01,Apple Watch S8,Smartwatch
Apple Watch S8 LTE 41mm viền thép dây thép,18.490.000₫,21.990.000₫,-15%,5,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm-day-thep,01,Apple Watch S8,Smartwatch
Apple Watch S8 LTE 41mm viền thép dây silicone,17.490.000₫,20.990.000₫,-16%,5,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm-vien-thep,01,Apple Watch S8,Smartwatch
Apple Watch SE 2022 40mm viền nhôm dây silicone,6.290.000₫,7.490.000₫,-16%,141,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022,01,Apple Watch SE 2022,Smartwatch
Apple Watch SE 2022 44mm viền nhôm dây silicone,6.990.000₫,8.490.000₫,-17%,88,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-44mm-vien-nhom,01,Apple Watch SE 2022,Smartwatch
Apple Watch SE 2022 LTE 44mm viền nhôm dây silicone,8.290.000₫,9.990.000₫,-17%,7,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-lte-44mm,01,Apple Watch SE 2022,Smartwatch
