product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
iPad Pro M1 12.9 inch WiFi Cellular 128GB (2021),29.290.000₫,34.990.000₫,-16%,14,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-128gb-2021,01,iPad Pro M1,Tablet
iPad Pro M1 12.9 inch WiFi Cellular 2TB (2021),58.990.000₫,63.990.000₫,-7%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-2tb-2021,01,iPad Pro M1,Tablet
iPad Pro M1 12.9 inch WiFi 2TB (2021),54.990.000₫,59.990.000₫,-8%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-2tb-2021,01,iPad Pro M1,Tablet
iPad Pro M1 11 inch WiFi Cellular 2TB (2021),50.990.000₫,55.990.000₫,-8%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-cellular-2tb-2021,01,iPad Pro M1,Tablet
iPad Pro M1 11 inch WiFi 2TB (2021),44.990.000₫,49.990.000₫,-10%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-2tb-2021,01,iPad Pro M1,Tablet
iPad Pro M1 12.9 inch WiFi 512GB (2021),32.690.000₫,38.990.000₫,-16%,11,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-512gb-2021,01,iPad Pro M1,Tablet
iPad mini 6 WiFi Cellular 64GB,15.990.000₫,16.690.000₫,-4%,15,https://www.thegioididong.com/may-tinh-bang/ipad-mini-6-wifi-cellular-64gb,01,iPad Mini,Tablet
iPad Air 5 M1 Wifi 64GB,14.590.000₫,15.590.000₫,-6%,31,https://www.thegioididong.com/may-tinh-bang/ipad-air-5,01,iPad Air,Tablet
iPad 9 WiFi 64GB,8.090.000₫,8.390.000₫,-3%,189,https://www.thegioididong.com/may-tinh-bang/ipad-gen-9,01,iPad 9,Tablet
iPad Pro M2 12.9 inch WiFi 128GB,28.190.000₫,29.190.000₫,-3%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-12-9-inch,01,iPad Pro M2,Tablet
iPad Pro M2 12.9 inch WiFi Cellular 128GB,32.090.000₫,33.090.000₫,-3%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-129-wifi-cellular-128gb,01,iPad Pro M2,Tablet
"iPad Pro M2 11"" WiFi 512GB",28.990.000₫,,,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-wifi-512gb,01,iPad Pro M2,Tablet
iPad Pro M2 11 inch WiFi Cellular 128GB,24.590.000₫,25.090.000₫,-1%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-wifi-cellular-128gb,01,iPad Pro M2,Tablet
iPad Pro M2 11 inch WiFi 256GB,23.890.000₫,,,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-wifi-256gb,01,iPad Pro M2,Tablet
iPad Pro M2 11 inch WiFi 128GB,20.690.000₫,21.190.000₫,-2%,28,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-inch,01,iPad Pro M2,Tablet
iPad 10 WiFi 64GB,11.190.000₫,11.490.000₫,-2%,45,https://www.thegioididong.com/may-tinh-bang/ipad-gen-10,01,iPad 10,Tablet
iPad 10 WiFi 256GB,Dự kiến: 15.390.000₫,,,,https://www.thegioididong.com/may-tinh-bang/ipad-10,01,iPad 10,Tablet
iPad 10 WiFi + Cellular 64GB,14.390.000₫,15.390.000₫,-6%,6,https://www.thegioididong.com/may-tinh-bang/ipad-10-wifi-cellular-64gb,01,iPad 10,Tablet
Samsung Galaxy Tab S7 FE 4G,13.990.000₫,,,102,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s7-fan-editon,02,Galaxy Tab S,Tablet
Samsung Galaxy Tab S8 Ultra 5G,25.990.000₫,30.990.000₫,-16%,15,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s8-ultra,02,Galaxy Tab S,Tablet
Samsung Galaxy Tab A8 (2022),6.990.000₫,,,122,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a8,02,Galaxy Tab A,Tablet
Samsung Galaxy Tab A7 Lite,4.490.000₫,,,186,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a7-lite,02,Galaxy Tab A,Tablet
Xiaomi Redmi Pad (4GB/128GB),5.790.000₫,6.990.000₫,-17%,58,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-4gb,03,,Tablet
Xiaomi Redmi Pad (3GB/64GB),5.090.000₫,6.290.000₫,-19%,32,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad,03,,Tablet
OPPO Pad Air 128GB,7.790.000₫,7.990.000₫,,9,https://www.thegioididong.com/may-tinh-bang/oppo-pad-air-128gb,04,,Tablet
OPPO Pad Air 64GB,6.490.000₫,6.690.000₫,,53,https://www.thegioididong.com/may-tinh-bang/oppo-pad-air,04,,Tablet
Masstel Tab 10A,2.790.000₫,,,40,https://www.thegioididong.com/may-tinh-bang/masstel-tab-10a,06,,Tablet
Masstel Tab 10S,2.690.000₫,2.890.000₫,-6%,91,https://www.thegioididong.com/may-tinh-bang/masstel-tab-10s,06,,Tablet
Masstel Tab 8.2,2.390.000₫,2.490.000₫,-4%,43,https://www.thegioididong.com/may-tinh-bang/masstel-tab-82,06,,Tablet
