brand_name,genre_name,link,link_logo
Evalu,Adapter Charger,https://www.thegioididong.com/adapter-sac-evalu,https://cdn.tgdd.vn/Brand/1/eValu9499-b_0.jpg
Apple,Adapter Charger,https://www.thegioididong.com/adapter-sac-apple,https://cdn.tgdd.vn/Brand/1/Apple9499-b_28.jpg
Ava Plus,Adapter Charger,https://www.thegioididong.com/adapter-sac-ava-plus,https://cdn.tgdd.vn/Brand/1/220-48-220x48-11.jpg
Vcom,Adapter Charger,https://www.thegioididong.com/adapter-sac-vcom,https://cdn.tgdd.vn/Brand/1/logovcom-220x48-1.png
Xmobile,Adapter Charger,https://www.thegioididong.com/adapter-sac-xmobile,https://cdn.tgdd.vn/Brand/1/Xmobile9499-b_10.jpg
Mbest,Adapter Charger,https://www.thegioididong.com/adapter-sac-mbest,https://cdn.tgdd.vn/Brand/1/Mbest9499-b_21.jpg
Belkin,Adapter Charger,https://www.thegioididong.com/adapter-sac-belkin,https://cdn.tgdd.vn/Brand/1/Belkin9499-b_39.jpg
Philips,Adapter Charger,https://www.thegioididong.com/adapter-sac-philips,https://cdn.tgdd.vn/Brand/1/Philips9499-b_26.png
Samsung,Adapter Charger,https://www.thegioididong.com/adapter-sac-samsung,https://cdn.tgdd.vn/Brand/1/samsungnew-220x48-220x48-1.png
Mophie,Adapter Charger,https://www.thegioididong.com/adapter-sac-mophie,https://cdn.tgdd.vn/Brand/1/Mophie9499-b_6.jpg
Aukey,Adapter Charger,https://www.thegioididong.com/adapter-sac-aukey,https://cdn.tgdd.vn/Brand/1/AUKEY9499-b_38.png
Oppo,Adapter Charger,https://www.thegioididong.com/adapter-sac-oppo,https://cdn.tgdd.vn/Brand/1/OPPO-220x48-1.jpeg
Hydrus,Adapter Charger,https://www.thegioididong.com/adapter-sac-hydrus,https://cdn.tgdd.vn/Brand/1/hydrus-logo-lon-220x48.jpeg
Ava,Adapter Charger,https://www.thegioididong.com/adapter-sac-ava,https://cdn.tgdd.vn/Brand/1/AVA9499-b_55.jpg
Anker,Adapter Charger,https://www.thegioididong.com/adapter-sac-anker,https://cdn.tgdd.vn/Brand/1/Anker9499-b_18.png
