brand_name,genre_name,link,link_logo
Belkin,Backup Charger,https://www.thegioididong.com/sac-dtdd-belkin,https://cdn.tgdd.vn/Brand/1/logo-belkin-220x48-1.jpg
Esaver,Backup Charger,https://www.thegioididong.com/sac-dtdd-esaver,https://cdn.tgdd.vn/Brand/1/eSaver57-b_47.jpg
Mbest,Backup Charger,https://www.thegioididong.com/sac-dtdd-mbest,https://cdn.tgdd.vn/Brand/1/Mbest57-b_9.jpg
Oppo,Backup Charger,https://www.thegioididong.com/sac-dtdd-oppo,https://cdn.tgdd.vn/Brand/1/OPPO42-b5-220x48.jpg
Energizer,Backup Charger,https://www.thegioididong.com/sac-dtdd-energizer,https://cdn.tgdd.vn/Brand/1/Energizer57-b_50.jpg
Ava,Backup Charger,https://www.thegioididong.com/sac-dtdd-ava,https://cdn.tgdd.vn/Brand/1/AVA57-b_50.jpg
Xmobile,Backup Charger,https://www.thegioididong.com/sac-dtdd-xmobile,https://cdn.tgdd.vn/Brand/1/Xmobile57-b_42.jpg
Anker,Backup Charger,https://www.thegioididong.com/sac-dtdd-anker,https://cdn.tgdd.vn/Brand/1/Anker57-b_11.png
Ava Plus,Backup Charger,https://www.thegioididong.com/sac-dtdd-ava-plus,https://cdn.tgdd.vn/Brand/1/220-48-220x48-10.jpg
Samsung,Backup Charger,https://www.thegioididong.com/sac-dtdd-samsung,https://cdn.tgdd.vn/Brand/1/samsungnew-220x48-220x48.png
Hydrus,Backup Charger,https://www.thegioididong.com/sac-dtdd-hydrus,https://cdn.tgdd.vn/Brand/1/220-48-220x48-3.jpg
Evalu,Backup Charger,https://www.thegioididong.com/sac-dtdd-evalu,https://cdn.tgdd.vn/Brand/1/eValu57-b51-220x48-1.jpg
