brand_name,genre_name,link,link_logo
Mophie,Cables,https://www.thegioididong.com/cap-dien-thoai-mophie,https://cdn.tgdd.vn/Brand/1/Mophie58-b_58.jpg
Aukey,Cables,https://www.thegioididong.com/cap-dien-thoai-aukey,https://cdn.tgdd.vn/Brand/1/AUKEY58-b_22.png
Hydrus,Cables,https://www.thegioididong.com/cap-dien-thoai-hydrus,https://cdn.tgdd.vn/Brand/1/220-48-220x48-6.jpg
Esaver,Cables,https://www.thegioididong.com/cap-dien-thoai-esaver,https://cdn.tgdd.vn/Brand/1/eSaver58-b_47.jpg
Oppo,Cables,https://www.thegioididong.com/cap-dien-thoai-oppo,https://cdn.tgdd.vn/Brand/1/OPPO42-b5-220x48-1.jpg
Anker,Cables,https://www.thegioididong.com/cap-dien-thoai-anker,https://cdn.tgdd.vn/Brand/1/Anker58-b_19.png
Belkin,Cables,https://www.thegioididong.com/cap-dien-thoai-belkin,https://cdn.tgdd.vn/Brand/1/Belkin58-b_3.jpg
Evalu,Cables,https://www.thegioididong.com/cap-dien-thoai-evalu,https://cdn.tgdd.vn/Brand/1/eValu58-b_21.jpg
Mbest,Cables,https://www.thegioididong.com/cap-dien-thoai-mbest,https://cdn.tgdd.vn/Brand/1/M-Best58-b_48.jpg
Ava,Cables,https://www.thegioididong.com/cap-dien-thoai-ava,https://cdn.tgdd.vn/Brand/1/AVA58-b_51.jpg
Iwalk,Cables,https://www.thegioididong.com/cap-dien-thoai-iwalk,https://cdn.tgdd.vn/Brand/1/iWalk58-b_1.png
Ava Plus,Cables,https://www.thegioididong.com/cap-dien-thoai-ava-plus,https://cdn.tgdd.vn/Brand/1/220-48-220x48-9.jpg
Xmobile,Cables,https://www.thegioididong.com/cap-dien-thoai-xmobile,https://cdn.tgdd.vn/Brand/1/Xmobile58-b_43.jpg
Energizer,Cables,https://www.thegioididong.com/cap-dien-thoai-energizer,https://cdn.tgdd.vn/Brand/1/Energizer58-b_31.jpg
Pisen,Cables,https://www.thegioididong.com/cap-dien-thoai-pisen,https://cdn.tgdd.vn/Brand/1/Pisen58-b_24.jpg
Apple,Cables,https://www.thegioididong.com/cap-dien-thoai-apple,https://cdn.tgdd.vn/Brand/1/Apple58-b_6.jpg
Sony,Cables,https://www.thegioididong.com/cap-dien-thoai-sony,https://cdn.tgdd.vn/Brand/1/Sony58-b_36.jpg
