brand_name,genre_name,link,link_logo
Samsung,Laptop Speaker,https://www.thegioididong.com/loa-laptop-samsung,https://cdn.tgdd.vn/Brand/1/samsungnew-220x48-220x48-9.png
Enkor,Laptop Speaker,https://www.thegioididong.com/loa-laptop-enkor,https://cdn.tgdd.vn/Brand/1/Enkor2162-b_14.jpg
Dalton,Laptop Speaker,https://www.thegioididong.com/loa-laptop-dalton,https://cdn.tgdd.vn/Brand/1/Dalton2162-b_35.jpg
Lg,Laptop Speaker,https://www.thegioididong.com/loa-laptop-lg,https://cdn.tgdd.vn/Brand/1/LG2162-s39-61x80.png
Jammy,Laptop Speaker,https://www.thegioididong.com/loa-laptop-jammy,https://cdn.tgdd.vn/Brand/1/JAMMY2162-b_48.jpg
Jbl,Laptop Speaker,https://www.thegioididong.com/loa-laptop-jbl,https://cdn.tgdd.vn/Brand/1/logo-JBL-220x48-3.jpg
Zenbos,Laptop Speaker,https://www.thegioididong.com/loa-laptop-zenbos,https://cdn.tgdd.vn/Brand/1/Zenbos2162-b_41.jpg
Jamo,Laptop Speaker,https://www.thegioididong.com/loa-laptop-jamo,https://cdn.tgdd.vn/Brand/1/JAMO2162-s7-144x80-1.png
Mozard,Laptop Speaker,https://www.thegioididong.com/loa-laptop-mozard,https://cdn.tgdd.vn/Brand/1/Mozard2162-b_58.jpg
Harman Kardon,Laptop Speaker,https://www.thegioididong.com/loa-laptop-harman-kardon,https://cdn.tgdd.vn/Brand/1/Harman-Kardon2162-b_9.jpg
Microlab,Laptop Speaker,https://www.thegioididong.com/loa-laptop-microlab,https://cdn.tgdd.vn/Brand/1/logo-microlab-220x48-1.png
Sumico,Laptop Speaker,https://www.thegioididong.com/loa-laptop-sumico,https://cdn.tgdd.vn/Brand/1/sumico-200x80-3-200x80-1.png
Nanomax,Laptop Speaker,https://www.thegioididong.com/loa-laptop-nanomax,https://cdn.tgdd.vn/Brand/1/nanomax-200x80-3.png
Fenda,Laptop Speaker,https://www.thegioididong.com/loa-laptop-fenda,https://cdn.tgdd.vn/Brand/1/Fenda2162-b_18.jpg
Suyang,Laptop Speaker,https://www.thegioididong.com/loa-laptop-suyang,https://cdn.tgdd.vn/Brand/1/Suyang2162-b_46.jpg
Sony,Laptop Speaker,https://www.thegioididong.com/loa-laptop-sony,https://cdn.tgdd.vn/Brand/1/Sony2162-b_17.jpg
Boston,Laptop Speaker,https://www.thegioididong.com/loa-laptop-boston,https://cdn.tgdd.vn/Brand/1/Boston2162-s21-251x80-1.png
Birici,Laptop Speaker,https://www.thegioididong.com/loa-laptop-birici,https://cdn.tgdd.vn/Brand/1/Birici2162-b18-180x80-1.png
Mobell,Laptop Speaker,https://www.thegioididong.com/loa-laptop-mobell,https://cdn.tgdd.vn/Brand/1/Mobell2162-b_49.jpg
Klipsch,Laptop Speaker,https://www.thegioididong.com/loa-laptop-klipsch,https://cdn.tgdd.vn/Brand/1/Klipsch2162-s9-157x80-1.png
Denon,Laptop Speaker,https://www.thegioididong.com/loa-laptop-denon,https://cdn.tgdd.vn/Brand/1/Denon2162-b10-220x48-1.png
Paramax,Laptop Speaker,https://www.thegioididong.com/loa-laptop-paramax,https://cdn.tgdd.vn/Brand/1/Paramax2162-191x80-1.png
