product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Anker PowerCore Slim 12W A1229,630000,800000,21,25,,https://www.thegioididong.com/sac-dtdd/pin-du-phong-10000mah-type-c-anker-powercore-a1229,Backup Charger,Anker
Anker PowerCore Essential 20W A1287,1280000,1600000,20,46,,https://www.thegioididong.com/sac-dtdd/pin-polymer-20000mah-type-c-pd-20w-anker-a1287,Backup Charger,Anker
Xmobile 20W Y73,800000,800000,0,0,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-10000mah-type-c-pd-qc3-0-20w-xmobile-y73,Backup Charger,Xmobile
Xmobile 15W PW37Y5B,420000,600000,30,87,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-c-xmobile-pw37y5b,Backup Charger,Xmobile
Xmobile PowerBox 18W P69D,900000,1000000,10,253,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-20000mah-type-c-xmobile-p69d,Backup Charger,Xmobile
Xmobile PowerLite 20W P181P,855000,950000,10,57,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-khong-day-magnetic-type-c-xmobile-powerlite-p181p,Backup Charger,Xmobile
Xmobile PowerSlim 18W PJ JP213,675000,750000,10,220,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-type-c-powerslim-jp213,Backup Charger,Xmobile
Xmobile PowerBox+ 20W JP218,990000,1100000,10,63,,https://www.thegioididong.com/sac-dtdd/sac-phong-polymer-20000mah-type-c-pd-qc3-0-20w-xmobile-powerbox-jp218,Backup Charger,Xmobile
Pin sạc dự phòng Polymer 5000mAh Không dây Magnetic Type C PD 20W Xmobile DS611,850000,850000,0,0,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,Backup Charger,Xmobile
Xmobile PowerBox 18W P72D,720000,900000,20,105,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-15000mah-type-c-xmobile-p72d,Backup Charger,Xmobile
Xmobile 18W P68D,525000,750000,30,137,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-qc30-xmobile-p68d,Backup Charger,Xmobile
