product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Cáp Type C - Lightning 1m Apple MM0A3,490000.0,590000.0,16,164,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-1m-apple-mm0a3-trang,Cables,Apple
Cáp Type C - Lightning 2m Apple MQGH2,990000.0,990000.0,0,7,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-2m-apple-mqgh2-trang,Cables,Apple
Cáp Type C - Type C 2m Apple MLL82,620000.0,690000.0,10,22,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-apple-mll82-trang,Cables,Apple
Cáp chuyển đổi Lightning - 3.5mm Apple MMX62,270000.0,300000.0,10,118,,https://www.thegioididong.com/cap-dien-thoai/cap-chuyen-doi-lightning-sang-35mm-mmx62,Cables,Apple
Cáp chuyển đổi USB-C sang VGA Multiport Apple MJ1L2,2070000.0,2590000.0,20,0,,https://www.thegioididong.com/cap-dien-thoai/cap-chuyen-usb-c-sang-vga-multiport-apple-mj1l2,Cables,Apple
Cáp chuyển đổi Thunderbolt 3 (USB-C) sang Thunderbolt 2 Apple MMEL2,1350000.0,1690000.0,20,4,,https://www.thegioididong.com/cap-dien-thoai/cap-thunderbolt-3-usb-c-thunderbolt-2-apple-mmel2,Cables,Apple
Cáp Lightning 1m Apple MXLY2,385000.0,550000.0,30,80,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-1m-apple-mxly2,Cables,Apple
Cáp Type C - Type C 1m Apple MUF72,530000.0,590000.0,10,20,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-apple-muf72-trang,Cables,Apple
Cáp Type-C - Type-C 0.8m Apple MQ4H2,1030000.0,1290000.0,20,3,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-80cm-apple-mq4h2,Cables,Apple
Cáp Thunderbolt 2m Apple MD861,1070000.0,1190000.0,10,0,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-thunderbolt-2m-apple-md861-trang,Cables,Apple
Cáp Lightning 2m Apple MD819,525000.0,750000.0,30,14,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-2m-apple-md819-trang,Cables,Apple
Cáp Lightning MFI 0.9m Anker Select+ A8012,250000.0,360000.0,30,38,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-09m-anker-a8012,Cables,Anker
Cáp Micro USB 0.9m Anker PowerLine A8132,90000.0,100000.0,10,72,,https://www.thegioididong.com/cap-dien-thoai/cap-micro-09m-anker-a8132,Cables,Anker
