product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
MacBook Air 13 inch M1 2020 7-core GPU,18390000,22990000,20,155,MacBook Air,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,Laptop,Apple
MacBook Air 13 inch M2 2022 8-core GPU,27590000,32990000,16,54,MacBook Air,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022,Laptop,Apple
MacBook Air 13 inch M2 2022 10-core GPU,39490000,46990000,15,10,MacBook Air,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb,Laptop,Apple
MacBook Air 15 inch M2 2023 10-core GPU,37990000,37990000,0,0,MacBook Air,https://www.thegioididong.com/laptop/apple-macbook-air-15-inch-m2-2023,Laptop,Apple
MacBook Air 15 inch M2 2023 10-core GPU,37990000,37990000,0,0,MacBook Air,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2023-16gb,Laptop,Apple
MacBook Air 15 inch M2 2023 10-core GPU,31990000,31990000,0,0,MacBook Air,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2023,Laptop,Apple
MacBook Pro 13 inch M2 2022 10-core GPU,29890000,35990000,16,31,MacBook Pro 13 inch,https://www.thegioididong.com/laptop/apple-macbook-pro-13-inch-m2-2022,Laptop,Apple
MacBook Pro 13 inch M2 2022 10-core GPU,38390000,45990000,16,17,MacBook Pro 13 inch,https://www.thegioididong.com/laptop/apple-macbook-pro-m2-2022-16gb,Laptop,Apple
MacBook Pro 13 inch M1 2020 8-core GPU,34990000,42690000,18,41,MacBook Pro 13 inch,https://www.thegioididong.com/laptop/apple-macbook-pro-2020-z11c,Laptop,Apple
MacBook Pro 13 inch M2 2022 10-core GPU,34490000,41990000,17,6,MacBook Pro 13 inch,https://www.thegioididong.com/laptop/apple-macbook-pro-m2-2022,Laptop,Apple
MacBook Pro 16 inch M1 Pro 2021 16 core-GPU,39990000,58490000,31,17,MacBook Pro 16 inch,https://www.thegioididong.com/laptop/apple-pro-16-m1-pro-2021-10-core-cpu,Laptop,Apple
MacBook Pro 16 inch M1 Pro 2021 16-core GPU,41990000,63190000,33,12,MacBook Pro 16 inch,https://www.thegioididong.com/laptop/apple-macbook-pro-16-m1-pro-2021-10-core-cpu,Laptop,Apple
Asus Vivobook X415EA i3 1115G4 (EK2034W),9790000,11490000,14,25,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-ek2034w,Laptop,Asus
Asus Vivobook 15 X1502ZA i5 1240P (EJ120W),14990000,18490000,18,73,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-15-x1502za-i5-ej120w,Laptop,Asus
Asus VivoBook X515MA N4020 (BR480W),6990000,7890000,11,51,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-x515ma-n4020-br480w,Laptop,Asus
Asus Vivobook 15 OLED A1505VA i5 13500H (L1052W),17490000,20490000,14,16,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1052w,Laptop,Asus
Asus Vivobook 14 X1402ZA i5 1240P (EK083W),14490000,18490000,21,32,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-14-x1402za-i5-ek083w,Laptop,Asus
Asus Vivobook 14X OLED A1405ZA i5 12500H (KM146W),16490000,19490000,15,8,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-a1405za-i5-km146w,Laptop,Asus
Asus Vivobook 15 X1504VA i5 1335U (NJ025W),15990000,17990000,11,6,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i5-nj025w,Laptop,Asus
Asus Vivobook 15 X1502ZA i7 1260P (EJ582W),17490000,23990000,27,41,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-15-x1502za-i7-ej582w,Laptop,Asus
Asus VivoBook X415EA i3 1115G4 (EK1386W),9190000,11490000,20,72,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-ek1386w,Laptop,Asus
Asus Vivobook S 14 Flip TP3402VA i5 13500H (LZ031W),20490000,21990000,6,10,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i5-lz031w,Laptop,Asus
Asus Vivobook 14 X1402ZA i3 1220P (EK249W),10490000,13990000,25,21,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-14-x1402za-i3-ek249w,Laptop,Asus
Asus Vivobook 14X OLED S3405VA i9 13900H (KM071W),24690000,26990000,8,0,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-s3405va-i9-km071w,Laptop,Asus
Asus Vivobook S 14 Flip TP3402VA i9 13900H (LZ118W),24490000,26490000,7,0,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i9-lz118w,Laptop,Asus
Asus Vivobook 15 OLED A1505VA i9 13900H (L1201W),23090000,24990000,7,0,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-l1201w,Laptop,Asus
Asus Vivobook 14X OLED S3405VA i5 13500H (KM072W),21990000,22990000,0,0,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-s3405va-i5-km072w,Laptop,Asus
