product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Loa Bluetooth JBL Go 3,890000,1090000,18,61,,https://www.thegioididong.com/loa-laptop/bluetooth-jbl-go-3-xanh-den,Laptop Speaker,Jbl
Loa Bluetooth JBL Pulse 5,5880000,6690000,12,12,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-pulse-5,Laptop Speaker,Jbl
Loa Bluetooth JBL Partybox On The Go,5990000,6990000,14,14,,https://www.thegioididong.com/loa-laptop/jbl-partybox-on-the-go,Laptop Speaker,Jbl
Loa Bluetooth JBL Charge 5,3290000,3990000,17,12,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-charge-5,Laptop Speaker,Jbl
Loa Bluetooth JBL Boombox 3,10250000,11990000,14,8,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-boombox-3,Laptop Speaker,Jbl
Loa Bluetooth JBL Go Essential,690000,790000,12,15,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-go-essential,Laptop Speaker,Jbl
Loa Bluetooth JBL Partybox 310,13900000,14900000,6,0,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-partybox-310,Laptop Speaker,Jbl
Loa Bluetooth JBL Partybox 110,10950000,12900000,15,3,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-jbl-partybox-110-imei,Laptop Speaker,Jbl
Loa Bluetooth JBL Flip 6,2650000,2990000,11,28,,https://www.thegioididong.com/loa-laptop/bluetooth-jbl-flip-6,Laptop Speaker,Jbl
Loa siêu trầm JBL PASION 12SP,11600000,14500000,20,3,,https://www.thegioididong.com/loa-laptop/loa-sieu-tram-jbl-pasion-12sp-300w,Laptop Speaker,Jbl
Amply JBL BEYOND3,17520000,21900000,20,0,,https://www.thegioididong.com/loa-laptop/amply-jbl-beyond3-720w,Laptop Speaker,Jbl
Amply JBL BEYOND1,13520000,16900000,20,0,,https://www.thegioididong.com/loa-laptop/thiet-bi-khuech-dai-am-tan-jbl-beyond1,Laptop Speaker,Jbl
Loa điện JBL IRX112BT,10520000,13400000,21,0,,https://www.thegioididong.com/loa-laptop/loa-keo-jbl-irx112bt,Laptop Speaker,Jbl
Loa điện JBL IRX108BT,9360000,11700000,20,0,,https://www.thegioididong.com/loa-laptop/loa-keo-jbl-irx108bt,Laptop Speaker,Jbl
Loa Bluetooth JBL Charge 5,3290000,3990000,17,22,,https://www.thegioididong.com/loa-laptop/bluetooth-jbl-charge-5,Laptop Speaker,Jbl
Cặp loa karaoke JBL KI512,20100000,21100000,0,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-ki512-800w,Laptop Speaker,Jbl
Cặp loa karaoke JBL KI510,18400000,19400000,5,3,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-ki510-700w,Laptop Speaker,Jbl
Cặp loa karaoke JBL MK 12,14800000,15800000,6,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-mk-12-500w,Laptop Speaker,Jbl
Cặp loa karaoke JBL MK 10,12600000,13600000,7,0,,https://www.thegioididong.com/loa-laptop/bo-loa-jbl-mk-10,Laptop Speaker,Jbl
Cặp loa karaoke JBL MK 08,9300000,10300000,9,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-mk-08-300w,Laptop Speaker,Jbl
Cặp loa karaoke JBL Pasion 12,16800000,17800000,5,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-pasion-12-500w,Laptop Speaker,Jbl
Cặp loa karaoke JBL Pasion 10,14600000,15600000,6,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-pasion-10-400w,Laptop Speaker,Jbl
Cặp loa karaoke JBL Pasion 8,11500000,12500000,8,3,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-jbl-pasion-8-300w,Laptop Speaker,Jbl
Loa Bluetooth Sony SRS-XB13,990000,1290000,23,106,,https://www.thegioididong.com/loa-laptop/sony-srs-xb13,Laptop Speaker,Sony
Loa Bluetooth Sony Hifi GTK-PG10,5990000,5990000,0,0,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-sony-hifi-gtk-pg10,Laptop Speaker,Sony
Loa Bluetooth Sony SRS-XP500,9990000,9990000,0,0,,https://www.thegioididong.com/loa-laptop/loa-bluetooth-sony-srs-xp500,Laptop Speaker,Sony
Bộ loa thanh Sony HT-S400,5990000,5990000,0,6,,https://www.thegioididong.com/loa-laptop/loa-thanh-sony-ht-s400,Laptop Speaker,Sony
Bộ loa Sony 5.1 HT-S700RF,11990000,11990000,0,5,,https://www.thegioididong.com/loa-laptop/da-n-am-thanh-sony-5-1-ht-s700rf,Laptop Speaker,Sony
Bộ loa thanh Sony HT-S40R,6380000,8490000,24,42,,https://www.thegioididong.com/loa-laptop/dan-am-thanh-sony-ht-s40r,Laptop Speaker,Sony
Loa siêu trầm không dây Sony SA-SW3,7490000,7490000,0,0,,https://www.thegioididong.com/loa-laptop/loa-sieu-tram-khong-day-tuy-chon-sony-sa-sw3,Laptop Speaker,Sony
Loa siêu trầm không dây Sony SA-SW5,15390000,15390000,0,0,,https://www.thegioididong.com/loa-laptop/loa-sieu-tram-khong-day-tuy-chon-sony-sa-sw5,Laptop Speaker,Sony
