product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Apple Watch Ultra LTE 49mm viền Titanium dây Alpine size M,18990000,23990000,20,11,Apple Watch Ultra,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-alpine-m,Smartwatch,Apple
Apple Watch Ultra GPS + Cellular 49mm Ocean Band,18990000,23990000,20,12,Apple Watch Ultra,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-cao-su,Smartwatch,Apple
Apple Watch Ultra LTE 49mm viền Titanium dây Alpine size S,18990000,23990000,20,0,Apple Watch Ultra,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-alpine-s,Smartwatch,Apple
Apple Watch S8 GPS 41mm viền nhôm dây silicone,9290000,11990000,22,33,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-41mm,Smartwatch,Apple
Apple Watch S8 GPS 45mm viền nhôm dây silicone,10490000,12990000,19,58,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8,Smartwatch,Apple
Apple Watch S8 LTE 45mm viền nhôm dây silicone,13190000,15990000,17,9,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm,Smartwatch,Apple
Apple Watch S8 LTE 41mm viền nhôm dây silicone,11990000,14990000,20,6,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm,Smartwatch,Apple
Apple Watch S8 LTE 45mm viền thép dây silicone,17990000,21990000,18,4,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm-vien-thep,Smartwatch,Apple
Apple Watch S8 LTE 45mm viền thép dây thép,18990000,22990000,17,5,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm-day-thep,Smartwatch,Apple
Apple Watch S8 LTE 41mm viền thép dây thép,18490000,21990000,15,5,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm-day-thep,Smartwatch,Apple
Apple Watch S8 LTE 41mm viền thép dây silicone,17490000,20990000,16,5,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm-vien-thep,Smartwatch,Apple
Apple Watch SE 2022 40mm viền nhôm dây silicone,6290000,7490000,16,141,Apple Watch SE 2022,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022,Smartwatch,Apple
Apple Watch SE 2022 44mm viền nhôm dây silicone,6990000,8490000,17,88,Apple Watch SE 2022,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-44mm-vien-nhom,Smartwatch,Apple
Apple Watch SE 2022 LTE 44mm viền nhôm dây silicone,8290000,9990000,17,7,Apple Watch SE 2022,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-lte-44mm,Smartwatch,Apple
Apple Watch SE 2022 LTE 40mm viền nhôm dây silicone,7490000,8990000,16,8,Apple Watch SE 2022,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-lte-40mm,Smartwatch,Apple
Apple Watch Series 7 LTE 45mm viền nhôm dây silicone,10990000,10990000,0,23,Apple Watch S7,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s7-lte-45mm,Smartwatch,Apple
Samsung Galaxy Watch5 40mm dây silicone,3790000,5990000,36,82,Galaxy Watch5,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5,Smartwatch,Samsung
Samsung Galaxy Watch5 LTE 40mm dây silicone,5490000,7490000,26,26,Galaxy Watch5,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-5-lte,Smartwatch,Samsung
Samsung Galaxy Watch5 44mm dây silicone,4490000,6490000,30,57,Galaxy Watch5,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5-44mm,Smartwatch,Samsung
Samsung Galaxy Watch5 LTE 44mm dây silicone,5990000,7990000,25,34,Galaxy Watch5,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5-lte-44mm,Smartwatch,Samsung
Samsung Galaxy Watch5 Pro LTE 45mm dây silicone,9990000,12990000,23,55,Galaxy Watch5 Pro,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-5-pro-lte,Smartwatch,Samsung
Samsung Galaxy Watch5 Pro 45mm dây silicone,8990000,11990000,25,42,Galaxy Watch5 Pro,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5-pro,Smartwatch,Samsung
Samsung Galaxy Watch4 40mm dây silicone,3290000,3990000,17,123,Galaxy Watch4,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-4-40mm,Smartwatch,Samsung
Samsung Galaxy Watch4 LTE Classic 46mm dây silicone,5990000,9990000,40,61,Galaxy Watch4 Classic,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-4-lte-classic-46mm,Smartwatch,Samsung
BeFit B4 44mm dây silicone,690000,990000,30,226,B series,https://www.thegioididong.com/dong-ho-thong-minh/befit-b4-hong,Smartwatch,Befit
BeFit BeU B3 44mm dây silicone,890000,1290000,31,131,B series,https://www.thegioididong.com/dong-ho-thong-minh/befit-b3-vang,Smartwatch,Befit
BeFit Sporty 2 44.5mm dây silicone,1390000,1690000,17,108,Sporty,https://www.thegioididong.com/dong-ho-thong-minh/befit-sporty-2,Smartwatch,Befit
BeFit Sporty 2 Pro 44.8mm dây da,1790000,1990000,10,51,Sporty,https://www.thegioididong.com/dong-ho-thong-minh/befit-sporty-2-pro,Smartwatch,Befit
BeFit Sporty 2 44.5mm dây da,1490000,1790000,16,27,Sporty,https://www.thegioididong.com/dong-ho-thong-minh/befit-sporty-2-day-da,Smartwatch,Befit
Xiaomi Redmi Watch 3 42.6mm dây silicone,2790000,2790000,0,189,Mi Watch,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-3,Smartwatch,Xiaomi
Xiaomi Watch S1 46.5mm dây da,4790000,5990000,20,103,Mi Watch,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-thong-minh-xiaomi-watch-s1,Smartwatch,Xiaomi
Xiaomi Redmi Watch 2 Lite 41.2mm dây TPU,1140000,1490000,23,191,Mi Watch,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-2-lite,Smartwatch,Xiaomi
Xiaomi Mi Band 7 Pro dây TPU,1690000,1890000,10,87,Mi Band,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-7-pro,Smartwatch,Xiaomi
Xiaomi Mi Band 7 dây TPU,890000,1290000,31,134,Mi Band,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-7,Smartwatch,Xiaomi
Kidcare S88 43.4mm dây silicone,2420000,2690000,10,47,,https://www.thegioididong.com/dong-ho-thong-minh/kidcare-s88-den,Smartwatch,Kidcare
Kidcare S8 43.4mm dây silicone,2240000,2490000,10,78,,https://www.thegioididong.com/dong-ho-thong-minh/kidcare-s8-den,Smartwatch,Kidcare
Kidcare S6 41.5mm dây silicone,1740000,1990000,12,153,,https://www.thegioididong.com/dong-ho-thong-minh/kidcare-s6-xanh,Smartwatch,Kidcare
Amazfit GTS 4 42.7mm,4290000,4990000,14,34,GTS,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gts-4-day-silicone,Smartwatch,Huami Amazfit
Amazfit GTS 4 mini 41.8mm dây silicone,2290000,2590000,11,127,GTS,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gts-4-mini,Smartwatch,Huami Amazfit
Amazfit GTS 2 mini 40.5mm dây silicone,1490000,1990000,25,43,GTS,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gts-2-mini-new,Smartwatch,Huami Amazfit
Amazfit T-Rex Ultra 47.3mm dây silicone,12490000,12490000,0,0,T-rex,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-t-rex-ultra,Smartwatch,Huami Amazfit
Amazfit T-Rex 2 47.1mm dây silicone,4490000,4990000,10,61,T-rex,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-t-rex-2,Smartwatch,Huami Amazfit
Amazfit GTR mini 42.8mm dây silicone,3490000,3490000,0,9,GTR,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gtr-mini,Smartwatch,Huami Amazfit
Amazfit GTR 4 46mm,4290000,4990000,14,50,GTR,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gtr-4-silicone,Smartwatch,Huami Amazfit
Amazfit Bip 3 Pro 44.12mm dây silicone,990000,1390000,28,42,Amazfit Bip,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-bip-3-pro,Smartwatch,Huami Amazfit
Amazfit Bip 3 44.12mm dây silicone,890000,1190000,25,78,Amazfit Bip,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-bip-3,Smartwatch,Huami Amazfit
Garmin Forerunner 965 47.2mm dây silicone,16490000,16490000,0,6,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-965-day-silicone,Smartwatch,Garmin
Garmin Forerunner 265 Music 46.1mm dây silicone,11690000,11690000,0,10,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-265-music-day-silicone,Smartwatch,Garmin
Garmin Forerunner 55 42mm dây silicone,5290000,5290000,0,25,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-55-day-silicone-den,Smartwatch,Garmin
