product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
iPad Pro M1 12.9 inch WiFi Cellular 128GB (2021),29290000,34990000,16,14,iPad Pro M1,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-128gb-2021,Tablet,Apple
iPad Pro M1 12.9 inch WiFi Cellular 2TB (2021),58990000,63990000,7,0,iPad Pro M1,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-2tb-2021,Tablet,Apple
iPad Pro M1 12.9 inch WiFi 2TB (2021),54990000,59990000,8,0,iPad Pro M1,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-2tb-2021,Tablet,Apple
iPad Pro M1 11 inch WiFi Cellular 2TB (2021),50990000,55990000,8,0,iPad Pro M1,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-cellular-2tb-2021,Tablet,Apple
iPad Pro M1 11 inch WiFi 2TB (2021),44990000,49990000,10,0,iPad Pro M1,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-2tb-2021,Tablet,Apple
iPad Pro M1 12.9 inch WiFi 512GB (2021),32690000,38990000,16,11,iPad Pro M1,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-512gb-2021,Tablet,Apple
iPad mini 6 WiFi Cellular 64GB,15990000,16690000,4,15,iPad Mini,https://www.thegioididong.com/may-tinh-bang/ipad-mini-6-wifi-cellular-64gb,Tablet,Apple
iPad Air 5 M1 Wifi 64GB,14590000,15590000,6,31,iPad Air,https://www.thegioididong.com/may-tinh-bang/ipad-air-5,Tablet,Apple
iPad 9 WiFi 64GB,8090000,8390000,3,189,iPad 9,https://www.thegioididong.com/may-tinh-bang/ipad-gen-9,Tablet,Apple
iPad Pro M2 12.9 inch WiFi 128GB,28190000,29190000,3,0,iPad Pro M2,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-12-9-inch,Tablet,Apple
iPad Pro M2 12.9 inch WiFi Cellular 128GB,32090000,33090000,3,0,iPad Pro M2,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-129-wifi-cellular-128gb,Tablet,Apple
"""iPad Pro M2 11"""" WiFi 512GB""",28990000,28990000,0,0,iPad Pro M2,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-wifi-512gb,Tablet,Apple
iPad Pro M2 11 inch WiFi Cellular 128GB,24590000,25090000,1,0,iPad Pro M2,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-wifi-cellular-128gb,Tablet,Apple
iPad Pro M2 11 inch WiFi 256GB,23890000,23890000,0,0,iPad Pro M2,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-wifi-256gb,Tablet,Apple
iPad Pro M2 11 inch WiFi 128GB,20690000,21190000,2,28,iPad Pro M2,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-inch,Tablet,Apple
iPad 10 WiFi 64GB,11190000,11490000,2,45,iPad 10,https://www.thegioididong.com/may-tinh-bang/ipad-gen-10,Tablet,Apple
iPad 10 WiFi 256GB,15390000,15390000,0,0,iPad 10,https://www.thegioididong.com/may-tinh-bang/ipad-10,Tablet,Apple
iPad 10 WiFi + Cellular 64GB,14390000,15390000,6,6,iPad 10,https://www.thegioididong.com/may-tinh-bang/ipad-10-wifi-cellular-64gb,Tablet,Apple
Samsung Galaxy Tab S7 FE 4G,13990000,13990000,0,102,Galaxy Tab S,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s7-fan-editon,Tablet,Samsung
Samsung Galaxy Tab S8 Ultra 5G,25990000,30990000,16,15,Galaxy Tab S,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s8-ultra,Tablet,Samsung
Samsung Galaxy Tab A8 (2022),6990000,6990000,0,122,Galaxy Tab A,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a8,Tablet,Samsung
Samsung Galaxy Tab A7 Lite,4490000,4490000,0,186,Galaxy Tab A,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a7-lite,Tablet,Samsung
Xiaomi Redmi Pad (4GB/128GB),5790000,6990000,17,58,,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-4gb,Tablet,Xiaomi
Xiaomi Redmi Pad (3GB/64GB),5090000,6290000,19,32,,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad,Tablet,Xiaomi
OPPO Pad Air 128GB,7790000,7990000,0,9,,https://www.thegioididong.com/may-tinh-bang/oppo-pad-air-128gb,Tablet,Oppo
OPPO Pad Air 64GB,6490000,6690000,0,53,,https://www.thegioididong.com/may-tinh-bang/oppo-pad-air,Tablet,Oppo
Masstel Tab 10A,2790000,2790000,0,40,,https://www.thegioididong.com/may-tinh-bang/masstel-tab-10a,Tablet,Masstel
Masstel Tab 10S,2690000,2890000,6,91,,https://www.thegioididong.com/may-tinh-bang/masstel-tab-10s,Tablet,Masstel
Masstel Tab 8.2,2390000,2490000,4,43,,https://www.thegioididong.com/may-tinh-bang/masstel-tab-82,Tablet,Masstel
